name,year,total_jobs_count
Irwindale,2016,17870.95
Pico-Union,2016,10909.09
Glendora,2016,19794.77
Industry,2016,59542.45
Sylmar,2016,20349.36
Torrance,2016,104375.45
Alhambra,2016,26819.27
Pico Rivera,2016,18390.81
Rolling Hills Estates,2016,2566.23
Signal Hill,2016,14786.32
Hawthorne,2016,22489.28
North Hills,2016,9216.42
Hacienda Heights,2016,9693.71
Harbor Gateway,2016,29645.05
Lopez/Kagel Canyons,2016,135.54
Citrus,2016,1092.55
Lake Balboa,2016,8820.52
Granada Hills,2016,10257.54
Palms,2016,9595.59
Santa Monica,2016,88193.84
Pacoima,2016,15688.71
Toluca Lake,2016,2759.82
Veterans Administration,2016,1098.09
Valley Village,2016,4904.32
Brentwood,2016,21275.24
Pomona,2016,48500.66
South Whittier,2016,7381.65
Pasadena,2016,111831.37
Winnetka,2016,10250.25
Palmdale,2016,30221.03
Porter Ranch,2016,4734.84
South El Monte,2016,12102.94
Tujunga Canyons,2016,1300.42
Commerce,2016,51707.62
San Fernando,2016,8965.74
Sherman Oaks,2016,33974.21
Bradbury,2016,393.14
Panorama City,2016,13746.04
Northridge,2016,36068.06
Culver City,2016,62601.33
Lakewood,2016,20012.08
Compton,2016,30321.59
Vernon,2016,42001.33
San Dimas,2016,20513.07
Inglewood,2016,29160.59
Charter Oak,2016,2055.93
Paramount,2016,19914.9
San Pedro,2016,14798.42
Lincoln Heights,2016,11866.03
Boyle Heights,2016,31474.01
Historic South-Central,2016,16807.96
Avalon,2016,1948.69
Westlake,2016,54414.5
Mission Hills,2016,8272.17
Quartz Hill,2016,1474.33
Marina del Rey,2016,5759.95
Bell,2016,20161.82
Long Beach,2016,164660.98
San Gabriel,2016,12761.13
Downey,2016,44012.29
Diamond Bar,2016,19935.42
La Canada Flintridge,2016,5803.95
West Covina,2016,28334.95
Redondo Beach,2016,25577.91
Vermont Square,2016,4397
Santa Fe Springs,2016,58219.89
Calabasas,2016,13316.55
Altadena,2016,6080.39
Bell Gardens,2016,9412.09
Sun Valley,2016,25419.45
Playa Vista,2016,11288.08
Carson,2016,67697.63
Hollywood Hills,2016,24334.82
Lancaster,2016,41527.83
Leona Valley,2016,140.87
Whittier,2016,27290.79
Walnut,2016,9906.93
Castaic Canyons,2016,10861.48
Silver Lake,2016,5871.07
Whittier Narrows,2016,4729.2
Glendale,2016,106322.56
West Whittier-Los Nietos,2016,5816.4
Atwater Village,2016,8092.54
East Whittier,2016,1015.07
El Sereno,2016,9250.85
Montecito Heights,2016,1254.96
Florence,2016,7092.64
Huntington Park,2016,13673.18
Cheviot Hills,2016,2233.97
Cypress Park,2016,2828.24
Desert View Highlands,2016,703.81
Baldwin Park,2016,21216.9
Montebello,2016,24727.5
Leimert Park,2016,2385.78
Santa Clarita,2016,59802.35
Elysian Park,2016,4382.53
Wilmington,2016,12499.71
Jefferson Park,2016,2776.29
Downtown,2016,316840.61
Encino,2016,28257.51
West Adams,2016,4356.36
Hawaiian Gardens,2016,2093.85
Agoura Hills,2016,11831.42
Baldwin Hills/Crenshaw,2016,6934.48
Lake View Terrace,2016,2296.65
Adams-Normandie,2016,1484.24
El Monte,2016,31076.87
Rancho Dominguez,2016,13666.65
Acton,2016,824.25
Studio City,2016,27552.12
La Puente,2016,4553.53
North Hollywood,2016,20981.34
Rosemead,2016,15281.82
San Marino,2016,3684.27
East San Gabriel,2016,3839.82
South Park,2016,2484.78
Burbank,2016,207655.62
Woodland Hills,2016,60091.86
Angeles Crest,2016,958.75
East Compton,2016,759.06
Chatsworth,2016,36496.07
Mayflower Village,2016,2049.52
Koreatown,2016,41841.34
South Gate,2016,21708.06
Elysian Valley,2016,1503.03
Claremont,2016,16409.57
Avocado Heights,2016,7232.51
South San Gabriel,2016,2360.25
Northwest Antelope Valley,2016,1647.53
Echo Park,2016,7496.48
Lynwood,2016,11521.05
Unincorporated Santa Susana Mountains,2016,16226.74
Shadow Hills,2016,6048.2
La Habra Heights,2016,1297.48
Covina,2016,20697.49
Northwest Palmdale,2016,1338.5
Sawtelle,2016,31825.29
Rancho Park,2016,2877.75
East Los Angeles,2016,21350.71
Beverlywood,2016,1990.31
Bellflower,2016,23337.66
Azusa,2016,14132.54
Del Rey,2016,9130.75
Mid-Wilshire,2016,40024.34
North Whittier,2016,5534.73
Beverly Crest,2016,1518.67
Cerritos,2016,40045.64
West Hills,2016,9420.89
Vincent,2016,2369.04
Sun Village,2016,381.56
Playa del Rey,2016,10081.07
Valinda,2016,1896.03
Tujunga,2016,4290.53
Exposition Park,2016,5406.56
Eagle Rock,2016,9064.74
Harbor City,2016,7340.21
Southeast Antelope Valley,2016,1274.29
Reseda,2016,12765.02
Willowbrook,2016,7906.21
Highland Park,2016,5587.25
Temple City,2016,7492.47
Westlake Village,2016,5416.51
Pico-Robertson,2016,5223.72
Monrovia,2016,17336.41
Broadway-Manchester,2016,1675.28
Sunland,2016,1985.04
Agua Dulce,2016,676.73
Malibu,2016,3927.46
Topanga,2016,1183.11
Northeast Antelope Valley,2016,3348.84
Arleta,2016,2591.67
Van Nuys,2016,49160.37
Mar Vista,2016,4617.17
Valley Glen,2016,12084.36
Arcadia,2016,26918.78
Windsor Square,2016,4328.54
West Puente Valley,2016,3263.55
Central-Alameda,2016,8483.69
Arlington Heights,2016,2639.81
Harvard Heights,2016,2673.32
Harvard Park,2016,1325.63
East Hollywood,2016,26445.5
Lennox,2016,2222.54
Larchmont,2016,1492.2
Tarzana,2016,14647.65
Rolling Hills,2016,658.48
Mid-City,2016,12591.8
Westchester,2016,72667.97
Manchester Square,2016,1026.57
Rowland Heights,2016,15211.95
Ridge Route,2016,986.15
South San Jose Hills,2016,1891.06
Vermont-Slauson,2016,2946.45
Athens,2016,1916.35
Mount Washington,2016,1346.06
West Compton,2016,9978.16
Los Feliz,2016,8110.31
Chinatown,2016,10513.87
Century City,2016,52509.14
Florence-Firestone,2016,7359.33
University Park,2016,7069.56
Hollywood Hills West,2016,2509.12
Unincorporated Santa Monica Mountains,2016,18431.96
West Los Angeles,2016,18512.35
Hancock Park,2016,8733.13
Canoga Park,2016,20186.24
Chesterfield Square,2016,1661.39
Hidden Hills,2016,1298.25
Norwalk,2016,25627.64
North El Monte,2016,822.25
Monterey Park,2016,29746.22
Hollywood,2016,54671.07
Fairfax,2016,11592.77
Glassell Park,2016,6191.07
Watts,2016,3056.26
La Verne,2016,12001.96
Rancho Palos Verdes,2016,7622.02
Green Meadows,2016,2680.62
Del Aire,2016,3829.52
Vermont Knolls,2016,1912.57
Castaic,2016,1234.09
Westwood,2016,70123.87
Venice,2016,15730.33
South Diamond Bar,2016,1024.13
Universal City,2016,4579.85
Pacific Palisades,2016,5807.54
Bel-Air,2016,2715.41
East Pasadena,2016,2821.71
Cudahy,2016,2818.32
Palos Verdes Estates,2016,2549.74
Ladera Heights,2016,33883.22
Walnut Park,2016,931.66
La Crescenta-Montrose,2016,3268.82
Gardena,2016,25943.94
Duarte,2016,11244.55
La Mirada,2016,20151.64
Maywood,2016,4508.56
Alondra Park,2016,2551.76
Beverly Grove,2016,32215.93
Vermont Vista,2016,1848.16
Lawndale,2016,5521.94
Hyde Park,2016,5057.7
Lomita,2016,3421.56
South Pasadena,2016,7352.56
Westmont,2016,2143.32
San Pasqual,2016,200.12
West Hollywood,2016,29642.35
Artesia,2016,5598.13
Manhattan Beach,2016,19720.58
West Carson,2016,5838.16
Hermosa Beach,2016,6836.37
