name,year,total_jobs_count
Irwindale,2015,16324.68
Pico-Union,2015,11297.26
Glendora,2015,20397.38
Industry,2015,57380.38
Sylmar,2015,19203.52
Torrance,2015,103218.81
Alhambra,2015,26496.88
Pico Rivera,2015,18077.13
Rolling Hills Estates,2015,2483.75
Signal Hill,2015,14983.05
Hawthorne,2015,22161.94
North Hills,2015,9014.54
Hacienda Heights,2015,9443.09
Harbor Gateway,2015,30804.45
Lopez/Kagel Canyons,2015,165.74
Citrus,2015,1204.22
Lake Balboa,2015,8458.82
Granada Hills,2015,9758.21
Palms,2015,9426.11
Santa Monica,2015,85817.82
Pacoima,2015,15216.07
Toluca Lake,2015,2815.16
Veterans Administration,2015,5418.7
Valley Village,2015,5191.46
Brentwood,2015,20919.67
Pomona,2015,48612.11
South Whittier,2015,7189.42
Pasadena,2015,111542.83
Winnetka,2015,9779.6
Palmdale,2015,28251.57
Porter Ranch,2015,4621.8
South El Monte,2015,12171.8
Tujunga Canyons,2015,1296.44
Commerce,2015,52477.16
San Fernando,2015,8303.64
Sherman Oaks,2015,34258.13
Bradbury,2015,372.11
Panorama City,2015,13091.18
Northridge,2015,34773.81
Culver City,2015,52869.52
Lakewood,2015,20729.51
Compton,2015,26441.24
Vernon,2015,41925.19
San Dimas,2015,19876.68
Inglewood,2015,29332.89
Charter Oak,2015,2009.09
Paramount,2015,19268.35
San Pedro,2015,15509.02
Lincoln Heights,2015,12067.43
Boyle Heights,2015,30702.31
Historic South-Central,2015,16977.96
Avalon,2015,2028.03
Westlake,2015,53113.55
Mission Hills,2015,7565.68
Quartz Hill,2015,1704.6
Marina del Rey,2015,5632.97
Bell,2015,10709.56
Long Beach,2015,164040.7
San Gabriel,2015,12154.59
Downey,2015,37447.78
Diamond Bar,2015,17718.59
La Canada Flintridge,2015,6148.98
West Covina,2015,27707.23
Redondo Beach,2015,26124.86
Vermont Square,2015,4386.02
Santa Fe Springs,2015,56953.93
Calabasas,2015,12138.94
Altadena,2015,5658.94
Bell Gardens,2015,9267.07
Sun Valley,2015,24532.29
Playa Vista,2015,10713.45
Carson,2015,64811.37
Hollywood Hills,2015,19543.27
Lancaster,2015,38899.01
Leona Valley,2015,125.63
Whittier,2015,25801.62
Walnut,2015,9548.15
Castaic Canyons,2015,11160.84
Silver Lake,2015,5558.84
Whittier Narrows,2015,4844.03
Glendale,2015,101163.71
West Whittier-Los Nietos,2015,5562.34
Atwater Village,2015,8170.15
East Whittier,2015,985.31
El Sereno,2015,9341.28
Montecito Heights,2015,1330.06
Florence,2015,7353.57
Huntington Park,2015,14418.81
Cheviot Hills,2015,2747.92
Cypress Park,2015,2691.24
Desert View Highlands,2015,663.72
