name,year,total_jobs_count
Watts,2011,3107.25
La Verne,2011,9857.89
Rancho Palos Verdes,2011,6514.67
Green Meadows,2011,2257.85
Del Aire,2011,3399.3
Vermont Knolls,2011,1614.83
Castaic,2011,930.9
Westwood,2011,63613.72
Venice,2011,9640.55
South Diamond Bar,2011,823.4
Universal City,2011,3937.7
Pacific Palisades,2011,4969.07
Bel-Air,2011,2397.4
East Pasadena,2011,2715.86
Cudahy,2011,2811.08
Palos Verdes Estates,2011,2136.59
Ladera Heights,2011,13658.27
Walnut Park,2011,821.61
La Crescenta-Montrose,2011,2855.15
Gardena,2011,24948.65
Duarte,2011,6151.65
La Mirada,2011,16211.64
Maywood,2011,3231.05
Alondra Park,2011,2384.89
Beverly Grove,2011,29750.4
Vermont Vista,2011,1474.66
Lawndale,2011,5347.43
Hyde Park,2011,4745.95
Lomita,2011,2943.22
South Pasadena,2011,6732
Westmont,2011,2082.97
San Pasqual,2011,143.65
West Hollywood,2011,25896.78
Artesia,2011,7134.58
Manhattan Beach,2011,17373.39
West Carson,2011,5400.52
Hermosa Beach,2011,5845.82
Carthay,2011,5761.46
Beverly Hills,2011,48320.78
El Segundo,2011,67561.06
View Park-Windsor Hills,2011,1347.3
Sierra Madre,2011,1780.96
Gramercy Park,2011,1375.13
