OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTArea,ShapeSTLength
463,FRA,2,High, , ,49512.001953125,4051.75648812949
464,FRA,2,High, , ,614.2099609375,522.004765534076
465,FRA,3,Very High, ,Very High,3042406.13085938,7914.75078850125
466,FRA,3,Very High, ,Very High,18587743091.7168,1897618.85013391
467,FRA,3,Very High, ,Very High,3529224.46191406,8004.71650995954
468,FRA,1,Moderate, , ,3727257.82128906,11153.1905214554
469,FRA,2,High, , ,51722.4130859375,4173.09618689037
470,FRA,2,High, , ,1792065.59863281,5449.75118415712
471,FRA,2,High, , ,19956.2470703125,981.584152781654
472,FRA,2,High, , ,41084.40234375,2433.9034053034
473,FRA,2,High, , ,30801.5263671875,1467.92182662167
474,FRA,2,High, , ,33430.8662109375,3386.86300208274
475,FRA,1,Moderate, , ,15581337.6962891,38675.0806787947
476,FRA,2,High, , ,75930.1044921875,6237.00080293513
477,FRA,2,High, , ,9316.4169921875,488.518475101602
478,FRA,2,High, , ,60955.34765625,5150.22202755027
479,FRA,3,Very High, ,Very High,12948758.9960938,26542.884075307
480,FRA,3,Very High, ,Very High,1725886.3984375,5255.05901773411
481,FRA,3,Very High, ,Very High,873373.266601562,3948.6080175745
482,FRA,3,Very High, ,Very High,5250035.22949219,10551.3064554871
483,FRA,2,High, , ,20978.0439453125,1028.40005848632
484,FRA,2,High, , ,8832.44140625,483.641659121258
485,FRA,2,High, , ,21387.4013671875,2432.03958157639
486,FRA,3,Very High, ,Very High,1897006.14453125,5518.91014464373
487,FRA,3,Very High, ,Very High,454400.059570312,2697.02083001861
488,FRA,2,High, , ,9221.15234375,487.291986171324
489,FRA,3,Very High, ,Very High,1816424.22949219,5391.54880044031
490,FRA,3,Very High, ,Very High,12205817.5058594,15859.7258385273
491,FRA,3,Very High, ,Very High,1750353.97949219,5292.36895470784
492,FRA,3,Very High, ,Very High,10382753.9013672,15697.1024188721
493,FRA,2,High, , ,10382075.6367188,22625.5538381921
494,FRA,2,High, , ,30039.109375,3124.5492388991
495,FRA,3,Very High, ,Very High,115142.734375,2060.02252666753
496,FRA,2,High, , ,217577.025390625,1982.9329806898
497,FRA,2,High, , ,3538090.43164062,7965.36861952239
498,FRA,2,High, , ,25836.7744140625,4689.35194523586
499,FRA,3,Very High, ,Very High,1263887.70019531,5195.46587839388
500,FRA,2,High, , ,1457487.01953125,6405.97446778069
501,FRA,3,Very High, ,Very High,1779677.41894531,5340.46558820645
502,FRA,2,High, , ,18184696.9238281,43193.3053418079
503,FRA,3,Very High, ,Very High,8351268.92382812,28561.254129528
504,FRA,2,High, , ,3495076.45703125,7939.63503545343
505,FRA,3,Very High, ,Very High,3609444.81347656,7910.77664245865
506,FRA,3,Very High, ,Very High,687690.48046875,3428.11733209231
507,FRA,3,Very High, ,Very High,13788489.7753906,22746.224366145
508,FRA,3,Very High, ,Very High,17506106.5927734,20000.6218485013
509,FRA,3,Very High, ,Very High,36244696.3398438,37167.4198102816
510,FRA,3,Very High, ,Very High,34161.0048828125,1274.41860132801
