Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003
"06037189501","Census Tract 1895.01, Los Angeles County, California","ACSSF","ca","140","00","0004643",,,,,"06","037",,,"189501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189501","Census Tract 1895.01",,,,1179,188,352
"06037189502","Census Tract 1895.02, Los Angeles County, California","ACSSF","ca","140","00","0004644",,,,,"06","037",,,"189502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189502","Census Tract 1895.02",,,,1177,242,379
"06037189600","Census Tract 1896, Los Angeles County, California","ACSSF","ca","140","00","0004645",,,,,"06","037",,,"189600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189600","Census Tract 1896",,,,1286,311,306
"06037189702","Census Tract 1897.02, Los Angeles County, California","ACSSF","ca","140","00","0004646",,,,,"06","037",,,"189702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189702","Census Tract 1897.02",,,,737,217,185
"06037189703","Census Tract 1897.03, Los Angeles County, California","ACSSF","ca","140","00","0004647",,,,,"06","037",,,"189703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189703","Census Tract 1897.03",,,,395,64,213
"06037189704","Census Tract 1897.04, Los Angeles County, California","ACSSF","ca","140","00","0004648",,,,,"06","037",,,"189704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189704","Census Tract 1897.04",,,,295,74,92
"06037189801","Census Tract 1898.01, Los Angeles County, California","ACSSF","ca","140","00","0004649",,,,,"06","037",,,"189801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189801","Census Tract 1898.01",,,,965,248,166
"06037189802","Census Tract 1898.02, Los Angeles County, California","ACSSF","ca","140","00","0004650",,,,,"06","037",,,"189802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189802","Census Tract 1898.02",,,,726,149,171
"06037189903","Census Tract 1899.03, Los Angeles County, California","ACSSF","ca","140","00","0004651",,,,,"06","037",,,"189903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189903","Census Tract 1899.03",,,,1093,282,257
"06037189904","Census Tract 1899.04, Los Angeles County, California","ACSSF","ca","140","00","0004652",,,,,"06","037",,,"189904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189904","Census Tract 1899.04",,,,1407,505,427
"06037189905","Census Tract 1899.05, Los Angeles County, California","ACSSF","ca","140","00","0004653",,,,,"06","037",,,"189905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189905","Census Tract 1899.05",,,,1081,308,292
"06037189906","Census Tract 1899.06, Los Angeles County, California","ACSSF","ca","140","00","0004654",,,,,"06","037",,,"189906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189906","Census Tract 1899.06",,,,1304,316,359
"06037189907","Census Tract 1899.07, Los Angeles County, California","ACSSF","ca","140","00","0004655",,,,,"06","037",,,"189907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189907","Census Tract 1899.07",,,,1348,450,267
"06037190101","Census Tract 1901.01, Los Angeles County, California","ACSSF","ca","140","00","0004656",,,,,"06","037",,,"190101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190101","Census Tract 1901.01",,,,1197,311,541
"06037190102","Census Tract 1901.02, Los Angeles County, California","ACSSF","ca","140","00","0004657",,,,,"06","037",,,"190102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190102","Census Tract 1901.02",,,,1286,292,401
"06037190201","Census Tract 1902.01, Los Angeles County, California","ACSSF","ca","140","00","0004658",,,,,"06","037",,,"190201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190201","Census Tract 1902.01",,,,1411,381,485
"06037190202","Census Tract 1902.02, Los Angeles County, California","ACSSF","ca","140","00","0004659",,,,,"06","037",,,"190202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190202","Census Tract 1902.02",,,,2227,623,712
"06037190302","Census Tract 1903.02, Los Angeles County, California","ACSSF","ca","140","00","0004660",,,,,"06","037",,,"190302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190302","Census Tract 1903.02",,,,1008,286,383
"06037190303","Census Tract 1903.03, Los Angeles County, California","ACSSF","ca","140","00","0004661",,,,,"06","037",,,"190303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190303","Census Tract 1903.03",,,,1688,257,650
"06037190401","Census Tract 1904.01, Los Angeles County, California","ACSSF","ca","140","00","0004662",,,,,"06","037",,,"190401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190401","Census Tract 1904.01",,,,1622,389,457
"06037190402","Census Tract 1904.02, Los Angeles County, California","ACSSF","ca","140","00","0004663",,,,,"06","037",,,"190402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190402","Census Tract 1904.02",,,,1226,244,379
"06037190510","Census Tract 1905.10, Los Angeles County, California","ACSSF","ca","140","00","0004664",,,,,"06","037",,,"190510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190510","Census Tract 1905.10",,,,1595,404,535
"06037190520","Census Tract 1905.20, Los Angeles County, California","ACSSF","ca","140","00","0004665",,,,,"06","037",,,"190520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190520","Census Tract 1905.20",,,,1387,286,392
"06037190701","Census Tract 1907.01, Los Angeles County, California","ACSSF","ca","140","00","0004666",,,,,"06","037",,,"190701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190701","Census Tract 1907.01",,,,758,163,262
"06037190702","Census Tract 1907.02, Los Angeles County, California","ACSSF","ca","140","00","0004667",,,,,"06","037",,,"190702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190702","Census Tract 1907.02",,,,640,167,178
"06037190801","Census Tract 1908.01, Los Angeles County, California","ACSSF","ca","140","00","0004668",,,,,"06","037",,,"190801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190801","Census Tract 1908.01",,,,1172,281,345
"06037190802","Census Tract 1908.02, Los Angeles County, California","ACSSF","ca","140","00","0004669",,,,,"06","037",,,"190802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190802","Census Tract 1908.02",,,,1265,342,343
"06037190901","Census Tract 1909.01, Los Angeles County, California","ACSSF","ca","140","00","0004670",,,,,"06","037",,,"190901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190901","Census Tract 1909.01",,,,1120,238,361
"06037190902","Census Tract 1909.02, Los Angeles County, California","ACSSF","ca","140","00","0004671",,,,,"06","037",,,"190902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190902","Census Tract 1909.02",,,,1447,242,372
"06037191000","Census Tract 1910, Los Angeles County, California","ACSSF","ca","140","00","0004672",,,,,"06","037",,,"191000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191000","Census Tract 1910",,,,2829,685,843
"06037191110","Census Tract 1911.10, Los Angeles County, California","ACSSF","ca","140","00","0004673",,,,,"06","037",,,"191110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191110","Census Tract 1911.10",,,,979,317,241
"06037191120","Census Tract 1911.20, Los Angeles County, California","ACSSF","ca","140","00","0004674",,,,,"06","037",,,"191120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191120","Census Tract 1911.20",,,,1468,336,559
"06037191201","Census Tract 1912.01, Los Angeles County, California","ACSSF","ca","140","00","0004675",,,,,"06","037",,,"191201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191201","Census Tract 1912.01",,,,1613,451,521
"06037191203","Census Tract 1912.03, Los Angeles County, California","ACSSF","ca","140","00","0004676",,,,,"06","037",,,"191203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191203","Census Tract 1912.03",,,,990,173,385
"06037191204","Census Tract 1912.04, Los Angeles County, California","ACSSF","ca","140","00","0004677",,,,,"06","037",,,"191204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191204","Census Tract 1912.04",,,,648,192,131
"06037191301","Census Tract 1913.01, Los Angeles County, California","ACSSF","ca","140","00","0004678",,,,,"06","037",,,"191301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191301","Census Tract 1913.01",,,,778,212,171
"06037191302","Census Tract 1913.02, Los Angeles County, California","ACSSF","ca","140","00","0004679",,,,,"06","037",,,"191302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191302","Census Tract 1913.02",,,,718,128,223
"06037191410","Census Tract 1914.10, Los Angeles County, California","ACSSF","ca","140","00","0004680",,,,,"06","037",,,"191410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191410","Census Tract 1914.10",,,,1323,345,300
"06037191420","Census Tract 1914.20, Los Angeles County, California","ACSSF","ca","140","00","0004681",,,,,"06","037",,,"191420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191420","Census Tract 1914.20",,,,972,258,275
"06037191500","Census Tract 1915, Los Angeles County, California","ACSSF","ca","140","00","0004682",,,,,"06","037",,,"191500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191500","Census Tract 1915",,,,1442,395,388
"06037191610","Census Tract 1916.10, Los Angeles County, California","ACSSF","ca","140","00","0004683",,,,,"06","037",,,"191610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191610","Census Tract 1916.10",,,,1226,350,352
"06037191620","Census Tract 1916.20, Los Angeles County, California","ACSSF","ca","140","00","0004684",,,,,"06","037",,,"191620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191620","Census Tract 1916.20",,,,957,305,307
"06037191710","Census Tract 1917.10, Los Angeles County, California","ACSSF","ca","140","00","0004685",,,,,"06","037",,,"191710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191710","Census Tract 1917.10",,,,1132,276,457
"06037191720","Census Tract 1917.20, Los Angeles County, California","ACSSF","ca","140","00","0004686",,,,,"06","037",,,"191720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191720","Census Tract 1917.20",,,,1275,208,514
"06037191810","Census Tract 1918.10, Los Angeles County, California","ACSSF","ca","140","00","0004687",,,,,"06","037",,,"191810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191810","Census Tract 1918.10",,,,1174,374,467
"06037191820","Census Tract 1918.20, Los Angeles County, California","ACSSF","ca","140","00","0004688",,,,,"06","037",,,"191820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191820","Census Tract 1918.20",,,,1692,318,582
"06037191901","Census Tract 1919.01, Los Angeles County, California","ACSSF","ca","140","00","0004689",,,,,"06","037",,,"191901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191901","Census Tract 1919.01",,,,1893,414,629
"06037191902","Census Tract 1919.02, Los Angeles County, California","ACSSF","ca","140","00","0004690",,,,,"06","037",,,"191902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037191902","Census Tract 1919.02",,,,816,283,253
"06037192001","Census Tract 1920.01, Los Angeles County, California","ACSSF","ca","140","00","0004691",,,,,"06","037",,,"192001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192001","Census Tract 1920.01",,,,810,289,217
"06037192002","Census Tract 1920.02, Los Angeles County, California","ACSSF","ca","140","00","0004692",,,,,"06","037",,,"192002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037192002","Census Tract 1920.02",,,,554,164,107
