Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T028_000,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T028_005,SE_T028_006,SE_T028_007,SE_T028_008,SE_T028_009,SE_T029_000,SE_T029_001,SE_T029_002,SE_T029_003,SE_T029_004,SE_T029_005,SE_T029_006,SE_T029_007,SE_T029_008,SE_T029_009,SE_T030_000,SE_T030_001,SE_T030_002,SE_T030_003,SE_T030_004,SE_T030_005,SE_T030_006,SE_T030_007,SE_T030_008,SE_T030_009,SE_T031_000,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_000,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009
"Census Tract 5018.03, Los Angeles County, California","Census Tract 5018.03","06037501803","00","06","037",,"501803",,,,,,,,4687,4035,652,379,73,11,123,8,19,39,4705,4071,634,464,48,25,49,2,5,41,-18,-36,18,-85,25,-14,74,6,14,-2,-0.382571732199787,-0.884303610906411,2.8391167192429,-18.3189655172414,52.0833333333333,-56,151.020408163265,300,280,-4.8780487804878,0,-0.435790586348339,0.435790586348339,-1.7756532358138,0.537308180743672,-0.296657927607213,1.5828346522035,0.128176902808705,0.299106647890121,-0.0393246338766393
"Census Tract 5018.04, Los Angeles County, California","Census Tract 5018.04","06037501804","00","06","037",,"501804",,,,,,,,2247,1846,401,264,35,18,27,9,8,40,2131,1689,442,357,15,4,48,1,3,14,116,157,-41,-93,20,14,-21,8,5,26,5.44345377756922,9.29544108940201,-9.27601809954751,-26.0504201680672,133.333333333333,350,-43.75,800,166.666666666667,185.714285714286,1.11022302462516E-14,2.895419034128,-2.89541903412799,-5.00369959883944,0.853737513723392,0.613362788112916,-1.05086149591603,0.353607719725158,0.215251285566218,1.12318275349979
"Census Tract 5019, Los Angeles County, California","Census Tract 5019","06037501900","00","06","037",,"501900",,,,,,,,4336,3257,1079,809,25,4,120,5,32,84,4213,2861,1352,1161,35,5,94,12,6,39,123,396,-273,-352,-10,-1,26,-7,26,45,2.91953477332067,13.8413142257952,-20.1923076923077,-30.3186907838071,-28.5714285714286,-20,27.6595744680851,-58.3333333333333,433.333333333333,115.384615384615,-7.99360577730113E-15,7.20646010459629,-7.2064601045963,-8.89981085604827,-0.254193661685015,-0.0264293528290137,0.536338498917864,-0.169519007675242,0.595591049667914,1.01156322505546
"Census Tract 5020.03, Los Angeles County, California","Census Tract 5020.03","06037502003","00","06","037",,"502003",,,,,,,,2745,2346,399,265,27,4,65,2,10,26,2693,2276,417,317,19,22,30,3,9,17,52,70,-18,-52,8,-18,35,-1,1,9,1.9309320460453,3.07557117750439,-4.31654676258993,-16.403785488959,42.1052631578947,-81.8181818181818,116.666666666667,-33.3333333333333,11.1111111111111,52.9411764705882,2.77555756156289E-15,0.949070551257158,-0.949070551257156,-2.11734260786753,0.278073694398958,-0.671213298729689,1.25394245487018,-0.0385401807424903,0.0300989477543141,0.3159104390591
"Census Tract 5020.04, Los Angeles County, California","Census Tract 5020.04","06037502004","00","06","037",,"502004",,,,,,,,4088,3580,508,300,49,7,112,4,19,17,4359,3884,475,330,23,1,102,4,0,15,-271,-304,33,-30,26,6,10,0,19,2,-6.21702225281028,-7.826982492276,6.94736842105263,-9.09090909090909,113.04347826087,600,9.80392156862745,0,,13.3333333333333,-2.66453525910038E-15,-1.52961975784855,1.52961975784855,-0.231991843584298,0.670986181950743,0.148291835189044,0.399739792022174,0.00608319202819009,0.464774951076321,0.0717356491663782
"Census Tract 5020.05, Los Angeles County, California","Census Tract 5020.05","06037502005","00","06","037",,"502005",,,,,,,,4382,3441,941,660,52,16,119,0,42,52,4251,3143,1108,917,36,17,101,2,9,26,131,298,-167,-257,16,-1,18,-2,33,26,3.08162785227005,9.48138720967229,-15.072202166065,-28.0261723009815,44.4444444444444,-5.88235294117647,17.8217821782178,-100,366.666666666667,100,-2.66453525910038E-15,4.59024273398339,-4.59024273398339,-6.50977926529704,0.339813189712067,-0.034775826902919,0.3397434018532,-0.0470477534697718,0.746751563060148,0.575051957060926
"Census Tract 5021, Los Angeles County, California","Census Tract 5021","06037502100","00","06","037",,"502100",,,,,,,,5079,4243,836,567,43,20,126,7,13,60,5097,4127,970,749,50,12,117,3,16,23,-18,116,-134,-182,-7,8,9,4,-3,37,-0.353148911124191,2.81075842015992,-13.8144329896907,-24.2990654205607,-14,66.6666666666667,7.69230769230769,133.333333333333,-18.75,160.869565217391,-5.32907051820075E-15,2.57086937511508,-2.57086937511509,-3.53130369473676,-0.134345846513839,0.158345695399388,0.185335385430504,0.0789642541313984,-0.0579542463914182,0.730089077565634
"Census Tract 5022, Los Angeles County, California","Census Tract 5022","06037502200","00","06","037",,"502200",,,,,,,,6477,5728,749,504,30,22,103,0,42,48,6585,5685,900,689,45,15,89,7,22,33,-108,43,-151,-185,-15,7,14,-7,20,15,-1.64009111617312,0.756376429199648,-16.7777777777778,-26.8505079825835,-33.3333333333333,46.6666666666667,15.7303370786517,-100,90.9090909090909,45.4545454545455,-3.99680288865056E-15,2.10343029109837,-2.10343029109838,-2.68179361138748,-0.220193901462438,0.111872991623066,0.238685828213588,-0.106302201974184,0.314355720944235,0.239944882944838
"Census Tract 5023.03, Los Angeles County, California","Census Tract 5023.03","06037502303","00","06","037",,"502303",,,,,,,,8396,7579,817,414,141,21,160,10,27,44,8461,7799,662,393,82,32,104,13,11,27,-65,-220,155,21,59,-11,56,-3,16,17,-0.768230705590356,-2.82087447108604,23.4138972809668,5.34351145038168,71.9512195121951,-34.375,53.8461538461538,-23.0769230769231,145.454545454545,62.962962962963,-4.21884749357559E-15,-1.90668993891149,1.90668993891148,0.286078450130659,0.710218546672035,-0.1280867814937,0.676500237420367,-0.0345418057202627,0.19157343232033,0.204947859582056
"Census Tract 5024.01, Los Angeles County, California","Census Tract 5024.01","06037502401","00","06","037",,"502401",,,,,,,,4772,4286,486,193,40,12,210,2,13,16,4747,4313,434,222,53,14,121,3,1,20,25,-27,52,-29,-13,-2,89,-1,12,-4,0.526648409521803,-0.626014375144911,11.9815668202765,-13.0630630630631,-24.5283018867925,-14.2857142857143,73.5537190082645,-33.3333333333333,1200,-20,-1.33226762955019E-15,-1.04179266350954,1.04179266350954,-0.632212059286219,-0.278271660876919,-0.0434562191394185,1.85169227628832,-0.0212866607771512,0.251356527994652,-0.0860295406937208
