Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T028_000,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T028_005,SE_T028_006,SE_T028_007,SE_T028_008,SE_T028_009,SE_T029_000,SE_T029_001,SE_T029_002,SE_T029_003,SE_T029_004,SE_T029_005,SE_T029_006,SE_T029_007,SE_T029_008,SE_T029_009,SE_T030_000,SE_T030_001,SE_T030_002,SE_T030_003,SE_T030_004,SE_T030_005,SE_T030_006,SE_T030_007,SE_T030_008,SE_T030_009,SE_T031_000,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_000,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009
"Census Tract 1011.10, Los Angeles County, California","Census Tract 1011.10","06037101110","00","06","037",,"101110",,,,,,,,4926,1381,3545,2840,65,7,434,8,14,177,4731,1324,3407,2656,74,14,486,4,30,143,195,57,138,184,-9,-7,-52,4,-16,34,4.12175015852885,4.30513595166163,4.05048429703552,6.92771084337349,-12.1621621621622,-50,-10.6995884773663,100,-53.3333333333333,23.7762237762238,-1.11022302462516E-14,0.0492900507729988,-0.0492900507730099,1.51291749471121,-0.244622312572297,-0.153817397933294,-1.46227579720768,0.0778548516780115,-0.349909156466883,0.57056226701794
"Census Tract 1011.22, Los Angeles County, California","Census Tract 1011.22","06037101122","00","06","037",,"101122",,,,,,,,3728,542,3186,2614,31,7,392,0,23,119,3664,575,3089,2437,26,4,495,1,10,116,64,-33,97,177,5,3,-103,-1,13,3,1.74672489082969,-5.73913043478261,3.14017481385562,7.26302831350021,19.2307692307692,75,-20.8080808080808,-100,130,2.58620689655172,0,-1.15460483160598,1.15460483160598,3.60601701744852,0.121938077478119,0.0785979346664917,-2.99480386828345,-0.027292576419214,0.344027025507431,0.0261212212080891
"Census Tract 1012.20, Los Angeles County, California","Census Tract 1012.20","06037101220","00","06","037",,"101220",,,,,,,,3344,1081,2263,1751,34,4,352,0,21,101,3363,1272,2091,1662,36,11,272,2,3,105,-19,-191,172,89,-2,-7,80,-2,18,-4,-0.564971751412429,-15.0157232704403,8.22572931611669,5.35499398315283,-5.55555555555556,-63.6363636363636,29.4117647058824,-100,600,-3.80952380952381,0,-5.49681696537183,5.49681696537183,2.94227962046874,-0.0537263806666126,-0.207471683832076,2.43829913767469,-0.0594707106749926,0.538784364609521,-0.101877382207444
"Census Tract 1012.21, Los Angeles County, California","Census Tract 1012.21","06037101221","00","06","037",,"101221",,,,,,,,3444,1178,2266,1840,73,3,246,3,10,91,3434,1171,2263,1745,89,4,261,3,5,156,10,7,3,95,-16,-1,-15,0,5,-65,0.29120559114735,0.597779675491033,0.132567388422448,5.44412607449857,-17.9775280898876,-25,-5.74712643678161,0,100,-41.6666666666667,1.11022302462516E-14,0.104238749351471,-0.10423874935146,2.61087289298719,-0.472101422070881,-0.0293742225216578,-0.457608786088694,-0.000253663406922782,0.144757250883932,-1.90053079913443
"Census Tract 1012.22, Los Angeles County, California","Census Tract 1012.22","06037101222","00","06","037",,"101222",,,,,,,,2808,1040,1768,1455,76,3,148,0,8,78,2556,1048,1508,1145,94,2,187,0,0,80,252,-8,260,310,-18,1,-39,0,8,-2,9.85915492957746,-0.763358778625954,17.2413793103448,27.0742358078603,-19.1489361702128,50,-20.855614973262,,,-2.5,5.32907051820075E-15,-3.96452790818988,3.96452790818989,7.01968219573854,-0.97106857670238,0.028590345491754,-2.04546366518198,0,0.284900284900285,-0.352112676056338
"Census Tract 1013, Los Angeles County, California","Census Tract 1013","06037101300","00","06","037",,"101300",,,,,,,,4269,483,3786,3251,24,1,352,2,20,136,4198,503,3695,3189,41,5,317,3,7,133,71,-20,91,62,-17,-4,35,-1,13,3,1.69128156264888,-3.97614314115308,2.46278755074425,1.94418312950768,-41.4634146341463,-80,11.0410094637224,-33.3333333333333,185.714285714286,2.25563909774436,-1.33226762955019E-15,-0.667771053176948,0.667771053176947,0.188920847203733,-0.41446299931333,-0.095679645774946,0.694275883026541,-0.0246132219929601,0.301747722900318,0.0175824671275936
"Census Tract 1014, Los Angeles County, California","Census Tract 1014","06037101400","00","06","037",,"101400",,,,,,,,3898,731,3167,2597,40,10,320,3,24,173,3903,721,3182,2649,45,7,337,0,7,137,-5,10,-15,-52,-5,3,-17,3,17,36,-0.128106584678452,1.3869625520111,-0.471401634192332,-1.96300490751227,-11.1111111111111,42.8571428571429,-5.04451038575668,,242.857142857143,26.2773722627737,0,0.280237262071104,-0.280237262071104,-1.24695886536346,-0.126791996841834,0.0771925977662261,-0.425045685213792,0.0769625448948179,0.436351140608709,0.928053002078232
"Census Tract 1021.03, Los Angeles County, California","Census Tract 1021.03","06037102103","00","06","037",,"102103",,,,,,,,2107,419,1688,1407,46,1,140,6,22,66,1740,375,1365,1114,21,3,167,2,0,58,367,44,323,293,25,-2,-27,4,22,8,21.0919540229885,11.7333333333333,23.6630036630037,26.3016157989228,119.047619047619,-66.6666666666667,-16.1676646706587,200,,13.7931034482759,8.43769498715119E-15,-1.66563016545832,1.66563016545833,2.75442013212663,0.976302309215587,-0.124952948300411,-2.95318287700004,0.169822540082593,1.04413858566683,-0.200917576332859
"Census Tract 1021.04, Los Angeles County, California","Census Tract 1021.04","06037102104","00","06","037",,"102104",,,,,,,,3906,556,3350,2719,83,1,399,1,16,131,3648,533,3115,2437,86,3,470,3,7,109,258,23,235,282,-3,-2,-71,-2,9,22,7.07236842105263,4.31519699812383,7.54414125200642,11.5716044316783,-3.48837209302326,-66.6666666666667,-15.1063829787234,-66.6666666666667,128.571428571429,20.1834862385321,8.32667268468867E-15,-0.37623460533053,0.376234605330539,2.80712702455063,-0.232520144447139,-0.0566352036003988,-2.6687181663837,-0.0566352036003988,0.217740251165548,0.365876047645997
"Census Tract 1021.05, Los Angeles County, California","Census Tract 1021.05","06037102105","00","06","037",,"102105",,,,,,,,1855,1028,827,568,20,1,177,0,10,51,1731,1136,595,413,15,2,139,0,3,23,124,-108,232,155,5,-1,38,0,7,28,7.16348931253611,-9.50704225352113,38.9915966386555,37.5302663438257,33.3333333333333,-50,27.3381294964029,,233.333333333333,121.739130434783,-1.06581410364015E-14,-10.2090155574345,10.2090155574345,6.76090507489089,0.211615989386501,-0.061631794407047,1.51173853668867,0,0.36577333264819,1.42061441822732
"Census Tract 1021.07, Los Angeles County, California","Census Tract 1021.07","06037102107","00","06","037",,"102107",,,,,,,,3984,1149,2835,2328,87,5,242,1,41,131,3851,1039,2812,2310,102,15,278,13,9,85,133,110,23,18,-15,-10,-36,-12,32,46,3.4536484030122,10.5871029836381,0.817923186344239,0.779220779220779,-14.7058823529412,-66.6666666666667,-12.9496402877698,-92.3076923076923,355.555555555556,54.1176470588235,-5.55111512312578E-15,1.86035625232688,-1.86035625232689,-1.55068469150557,-0.464927745257843,-0.264007210352707,-1.14460699197726,-0.312474254327098,0.795410934832553,1.08093370626103
"Census Tract 1031.01, Los Angeles County, California","Census Tract 1031.01","06037103101","00","06","037",,"103101",,,,,,,,2712,514,2198,1879,26,6,183,5,4,95,2670,566,2104,1761,18,8,238,3,7,69,42,-52,94,118,8,-2,-55,2,-3,26,1.57303370786517,-9.18727915194346,4.46768060836502,6.7007382169222,44.4444444444444,-25,-23.109243697479,66.6666666666667,-42.8571428571429,37.6811594202899,8.43769498715119E-15,-2.24569951277717,2.24569951277718,3.32960458718636,0.284544761525969,-0.0783865301116967,-2.16607006728315,0.0720062311491167,-0.114679659275463,0.918680189586027
"Census Tract 1031.02, Los Angeles County, California","Census Tract 1031.02","06037103102","00","06","037",,"103102",,,,,,,,4752,1073,3679,3026,22,5,430,4,14,178,4751,1351,3400,2646,28,14,586,4,11,111,1,-278,279,380,-6,-9,-156,0,3,67,0.0210482003788676,-20.5773501110289,8.20588235294118,14.3613000755858,-21.4285714285714,-64.2857142857143,-26.6211604095563,0,27.2727272727273,60.3603603603604,-2.66453525910038E-15,-5.85615238188381,5.85615238188381,7.98491297596749,-0.12638664764533,-0.189455950085291,-3.28542387319487,-1.77173403862526E-05,0.0630825904452509,1.40944100373694
"Census Tract 1032.01, Los Angeles County, California","Census Tract 1032.01","06037103201","00","06","037",,"103201",,,,,,,,4676,1691,2985,2397,110,11,279,5,23,160,4140,1224,2916,2420,70,9,308,2,17,90,536,467,69,-23,40,2,-29,3,6,70,12.9468599033816,38.1535947712418,2.36625514403292,-0.950413223140496,57.1428571428571,22.2222222222222,-9.41558441558442,150,35.2941176470588,77.7777777777778,-5.32907051820075E-15,6.59817011938855,-6.59817011938856,-7.19234409028734,0.661616725141849,0.0178524937702235,-1.47297537430315,0.0586198204006067,0.0812453767413414,1.24781492914792
"Census Tract 1032.02, Los Angeles County, California","Census Tract 1032.02","06037103202","00","06","037",,"103202",,,,,,,,2026,695,1331,972,128,6,126,4,19,76,2006,558,1448,1042,190,14,144,3,4,51,20,137,-117,-70,-62,-8,-18,1,15,25,0.997008973080758,24.5519713261649,-8.08011049723757,-6.71785028790787,-32.6315789473684,-57.1428571428571,-12.5,33.3333333333333,375,49.0196078431373,0,6.48749703505476,-6.48749703505476,-3.96785950145614,-3.15371752462258,-0.401756231798189,-0.959313569656283,0.0478820202767807,0.738406695018597,1.20886107718306
"Census Tract 1033, Los Angeles County, California","Census Tract 1033","06037103300","00","06","037",,"103300",,,,,,,,3953,860,3093,2650,53,5,233,3,31,118,3819,744,3075,2710,35,11,221,2,5,91,134,116,18,-60,18,-6,12,1,26,27,3.50877192982456,15.5913978494624,0.585365853658537,-2.2140221402214,51.4285714285714,-54.5454545454545,5.42986425339367,50,520,29.6703296703297,8.43769498715119E-15,2.27408896640793,-2.27408896640792,-3.92329165945473,0.424283577651439,-0.161547303624607,0.107402328233942,0.0235219975057806,0.65329019487753,0.602251898402723
"Census Tract 1034.01, Los Angeles County, California","Census Tract 1034.01","06037103401","00","06","037",,"103401",,,,,,,,2516,530,1986,1586,33,9,242,0,16,100,2331,481,1850,1458,33,11,257,2,11,78,185,49,136,128,0,-2,-15,-2,5,22,7.93650793650794,10.1871101871102,7.35135135135135,8.77914951989026,0,-18.1818181818182,-5.83657587548638,-100,45.4545454545455,28.2051282051282,1.11022302462516E-14,0.430262194968078,-0.430262194968067,0.488303429479908,-0.104095692330987,-0.114189820072173,-1.40686905392788,-0.0858000858000858,0.164029575794282,0.628359451888864
"Census Tract 1034.02, Los Angeles County, California","Census Tract 1034.02","06037103402","00","06","037",,"103402",,,,,,,,4075,1183,2892,2378,56,8,270,2,12,166,3812,1059,2753,2328,55,11,237,1,4,117,263,124,139,50,1,-3,33,1,8,49,6.89926547743966,11.7091595845137,5.04903741373048,2.14776632302405,1.81818181818182,-27.2727272727273,13.9240506329114,100,200,41.8803418803419,-5.55111512312578E-15,1.24998229678316,-1.24998229678317,-2.71447608134467,-0.0685790432537869,-0.0922434160127206,0.408558056894921,0.0228468060178062,0.189546733273679,1.00436464764161
"Census Tract 1041.03, Los Angeles County, California","Census Tract 1041.03","06037104103","00","06","037",,"104103",,,,,,,,3811,2651,1160,416,389,1,254,11,24,65,4085,2918,1167,307,513,3,280,1,16,47,-274,-267,-7,109,-124,-2,-26,10,8,18,-6.70746634026928,-9.15010281014393,-0.599828620394173,35.5048859934853,-24.1715399610136,-66.6666666666667,-9.28571428571429,1000,50,38.2978723404255,5.55111512312578E-15,-1.8702737389384,1.87027373893841,3.40047026147013,-2.35084486156963,-0.0471995804196253,-0.189427820709683,0.264158348554256,0.238079102976727,0.555038288636226
"Census Tract 1041.05, Los Angeles County, California","Census Tract 1041.05","06037104105","00","06","037",,"104105",,,,,,,,5999,4813,1186,376,280,6,407,0,37,80,5412,4472,940,223,346,4,302,6,9,50,587,341,246,153,-66,2,105,-6,28,30,10.8462675535846,7.62522361359571,26.1702127659574,68.609865470852,-19.0751445086705,50,34.7682119205298,-100,311.111111111111,60,2.66453525910038E-15,-2.40115160853983,2.40115160853983,2.14723826230215,-1.72575572154364,0.0261068394375165,1.20427191178821,-0.110864745011086,0.4504723440603,0.409682717506379
"Census Tract 1041.08, Los Angeles County, California","Census Tract 1041.08","06037104108","00","06","037",,"104108",,,,,,,,5829,4799,1030,274,456,7,205,1,24,63,5256,4169,1087,253,583,7,183,0,9,52,573,630,-57,21,-127,0,22,1,15,11,10.9018264840183,15.1115375389782,-5.24379024839006,8.300395256917,-21.7838765008576,0,12.0218579234973,,166.666666666667,21.1538461538462,-2.66453525910038E-15,3.01085698887079,-3.01085698887079,-0.112911665887223,-3.26913104137633,-0.0130919172050314,0.0351631074669172,0.0171556013038257,0.240501554579488,0.091457372247564
"Census Tract 1041.24, Los Angeles County, California","Census Tract 1041.24","06037104124","00","06","037",,"104124",,,,,,,,4333,2210,2123,1319,387,0,257,14,39,107,4175,2122,2053,1174,566,15,227,8,5,58,158,88,70,145,-179,-15,30,6,34,49,3.78443113772455,4.14703110273327,3.40964442279591,12.350936967632,-31.6254416961131,-100,13.215859030837,75,680,84.4827586206897,0,0.17757607333222,-0.17757607333222,2.32104265966106,-4.6254299616783,-0.359281437125749,0.494099730379997,0.131485010592708,0.780308757053168,1.0801991677849
"Census Tract 1042.01, Los Angeles County, California","Census Tract 1042.01","06037104201","00","06","037",,"104201",,,,,,,,4377,3876,501,93,297,0,63,1,16,31,4780,4293,487,50,387,5,6,0,4,35,-403,-417,14,43,-90,-5,57,1,12,-4,-8.43096234309624,-9.71348707197764,2.87474332648871,86,-23.2558139534884,-100,950,,300,-11.4285714285714,-4.21884749357559E-15,-1.25791150584599,1.25791150584598,1.07871787003765,-1.31076480996613,-0.104602510460251,1.31381900252652,0.0228466986520448,0.281865170064516,-0.0239699150083691
"Census Tract 1042.03, Los Angeles County, California","Census Tract 1042.03","06037104203","00","06","037",,"104203",,,,,,,,4874,4381,493,132,209,1,102,0,14,35,5210,4708,502,67,319,9,63,10,16,18,-336,-327,-9,65,-110,-8,39,-10,-2,17,-6.44913627639156,-6.94562446898895,-1.79282868525896,97.0149253731343,-34.4827586206897,-88.8888888888889,61.9047619047619,-100,-12.5,94.4444444444444,2.77555756156289E-15,-0.479578664494984,0.479578664494987,1.42225936202672,-1.83478160193498,-0.152227692554878,0.883523919863083,-0.191938579654511,-0.0198633195686777,0.372606576318229
"Census Tract 1042.04, Los Angeles County, California","Census Tract 1042.04","06037104204","00","06","037",,"104204",,,,,,,,3304,2526,778,309,189,0,219,0,24,37,3375,2480,895,344,250,2,269,2,4,24,-71,46,-117,-35,-61,-2,-50,-2,20,13,-2.1037037037037,1.85483870967742,-13.072625698324,-10.1744186046512,-24.4,-100,-18.5873605947955,-100,500,54.1666666666667,2.66453525910038E-15,2.97130302215048,-2.97130302215048,-0.840292350461841,-1.68706842435656,-0.0592592592592593,-1.34204107254955,-0.0592592592592593,0.607873733297462,0.408743610438526
"Census Tract 1043.10, Los Angeles County, California","Census Tract 1043.10","06037104310","00","06","037",,"104310",,,,,,,,4396,4153,243,69,107,10,26,0,13,18,4921,4624,297,81,191,3,7,0,4,11,-525,-471,-54,-12,-84,7,19,0,9,7,-10.6685633001422,-10.1859861591696,-18.1818181818182,-14.8148148148148,-43.979057591623,233.333333333333,271.428571428571,,225,63.6363636363636,2.1094237467878E-15,0.507606164662822,-0.507606164662819,-0.0763981739509732,-1.44729399674086,0.166516307984628,0.449199259122156,0,0.214439093084752,0.185931345837481
"Census Tract 1043.21, Los Angeles County, California","Census Tract 1043.21","06037104321","00","06","037",,"104321",,,,,,,,3009,2763,246,55,84,13,79,0,5,10,3438,3183,255,36,125,6,76,0,2,10,-429,-420,-9,19,-41,7,3,0,3,0,-12.478184991274,-13.1950989632422,-3.52941176470588,52.7777777777778,-32.8,116.666666666667,3.94736842105263,,150,0,-6.88338275267597E-15,-0.758370612421033,0.758370612421026,0.780729365133222,-0.844209663041127,0.2575171518603,0.414869411544308,0,0.10799480557745,0.0414695413468727
"Census Tract 1043.22, Los Angeles County, California","Census Tract 1043.22","06037104322","00","06","037",,"104322",,,,,,,,2233,2012,221,55,99,7,31,1,10,18,2560,2281,279,31,224,5,6,0,2,11,-327,-269,-58,24,-125,2,25,1,8,7,-12.7734375,-11.7930732135029,-20.7885304659498,77.4193548387097,-55.8035714285714,40,416.666666666667,,400,63.6363636363636,-1.33226762955019E-15,1.00143794782803,-1.00143794782803,1.25211668719212,-4.31650246305419,0.118167123824451,1.15389190550828,0.0447828034034931,0.369703034034931,0.376402961262875
"Census Tract 1044.01, Los Angeles County, California","Census Tract 1044.01","06037104401","00","06","037",,"104401",,,,,,,,3022,2872,150,83,19,3,13,1,21,10,3357,3248,109,71,2,12,19,1,1,3,-335,-376,41,12,17,-9,-6,0,20,7,-9.97914804885314,-11.576354679803,37.6146788990826,16.9014084507042,850,-75,-31.5789473684211,0,2000,233.333333333333,0,-1.71665358614328,1.71665358614328,0.631541863490593,0.569145696921809,-0.258190014365904,-0.135802841519454,0.00330216679313473,0.665115535423181,0.24154117939992
"Census Tract 1044.03, Los Angeles County, California","Census Tract 1044.03","06037104403","00","06","037",,"104403",,,,,,,,2947,2772,175,67,11,4,79,0,7,7,3282,3159,123,58,16,4,31,0,12,2,-335,-387,52,9,-5,0,48,0,-5,5,-10.2071907373553,-12.2507122507123,42.2764227642276,15.5172413793103,-31.25,0,154.838709677419,,-41.6666666666667,250,4.88498130835069E-15,-2.19052747224116,2.19052747224116,0.506283360287277,-0.114246673974318,0.0138543477941707,1.73614622085443,0,-0.128101021768489,0.176591239048086
"Census Tract 1044.04, Los Angeles County, California","Census Tract 1044.04","06037104404","00","06","037",,"104404",,,,,,,,3082,2911,171,85,21,7,30,0,7,21,3236,3112,124,57,32,6,15,0,5,9,-154,-201,47,28,-11,1,15,0,2,12,-4.75896168108776,-6.45886889460154,37.9032258064516,49.1228070175439,-34.375,16.6666666666667,100,,40,133.333333333333,5.55111512312578E-15,-1.71645400663688,1.71645400663689,0.996515514543155,-0.307499424466318,0.0417111518775232,0.509858671387514,0,0.0726135004560152,0.403254592838997
"Census Tract 1045, Los Angeles County, California","Census Tract 1045","06037104500","00","06","037",,"104500",,,,,,,,3151,2954,197,102,20,5,44,1,10,15,3293,3137,156,107,20,1,24,2,1,1,-142,-183,41,-5,0,4,20,-1,9,14,-4.31217734588521,-5.83359897991712,26.2820512820513,-4.67289719626168,0,400,83.3333333333333,-50,900,1400,-7.54951656745106E-15,-1.51466190604828,1.51466190604827,-0.0122491348747332,0.0273702148263104,0.12831233809771,0.667563394573547,-0.0289989353564677,0.286992122293204,0.445671906488697
"Census Tract 1046.10, Los Angeles County, California","Census Tract 1046.10","06037104610","00","06","037",,"104610",,,,,,,,3645,3348,297,174,54,3,32,0,13,21,3672,3574,98,50,13,6,12,5,3,9,-27,-226,199,124,41,-3,20,-5,10,12,-0.735294117647059,-6.32344711807499,203.061224489796,248,315.384615384615,-50,166.666666666667,-100,333.333333333333,133.333333333333,5.32907051820075E-15,-5.479302832244,5.47930283224401,3.41200677801985,1.12745098039216,-0.0810941660614863,0.551117566368111,-0.136165577342048,0.274953602840313,0.331033648027112
"Census Tract 1046.20, Los Angeles County, California","Census Tract 1046.20","06037104620","00","06","037",,"104620",,,,,,,,3200,3088,112,55,12,11,18,0,7,9,3539,3420,119,72,9,18,12,0,2,6,-339,-332,-7,-17,3,-7,6,0,5,3,-9.57897711217858,-9.70760233918129,-5.88235294117647,-23.6111111111111,33.3333333333333,-38.8888888888889,50,,250,50,-6.93889390390723E-15,-0.137468211359149,0.137468211359142,-0.315723014975982,0.120690873128002,-0.164868253743995,0.22342116417067,0,0.162236860695112,0.111710582085335
"Census Tract 1047.01, Los Angeles County, California","Census Tract 1047.01","06037104701","00","06","037",,"104701",,,,,,,,4601,4336,265,63,131,1,31,0,3,36,4208,4018,190,36,120,3,11,0,10,10,393,318,75,27,11,-2,20,0,-7,26,9.3393536121673,7.91438526630164,39.4736842105263,75,9.16666666666667,-66.6666666666667,181.818181818182,,-70,260,-3.5527136788005E-15,-1.24440834898679,1.24440834898679,0.513754242547702,-0.00450389773094459,-0.0495583701013914,0.412359728377779,0,-0.172439368859307,0.544796014752951
"Census Tract 1047.03, Los Angeles County, California","Census Tract 1047.03","06037104703","00","06","037",,"104703",,,,,,,,2572,2171,401,153,93,4,109,0,1,41,2395,2262,133,69,43,1,6,0,0,14,177,-91,268,84,50,3,103,0,1,27,7.39039665970772,-4.02298850574713,201.503759398496,121.739130434783,116.279069767442,300,1716.66666666667,,,192.857142857143,-1.77635683940025E-15,-10.0377438741286,10.0377438741286,3.06767598385699,1.82045604340302,0.113767341889694,3.98742520219353,0,0.0388802488335925,1.00953905395182
"Census Tract 1047.04, Los Angeles County, California","Census Tract 1047.04","06037104704","00","06","037",,"104704",,,,,,,,4760,3758,1002,281,407,2,239,3,30,40,4221,3240,981,233,554,10,142,12,5,25,539,518,21,48,-147,-8,97,-9,25,15,12.7694859038143,15.9876543209877,2.14067278287462,20.6008583690987,-26.5342960288809,-80,68.3098591549296,-75,500,60,-5.77315972805081E-15,2.19051799824407,-2.19051799824407,0.383342391683041,-4.57443176275485,-0.19489387794919,1.65687668102067,-0.221267611522221,0.511796758504397,0.248059422774085
"Census Tract 1048.21, Los Angeles County, California","Census Tract 1048.21","06037104821","00","06","037",,"104821",,,,,,,,3498,3160,338,130,47,4,123,5,19,10,3514,3269,245,118,40,7,62,0,6,12,-16,-109,93,12,7,-3,61,5,13,-2,-0.455321570859419,-3.33435301315387,37.9591836734694,10.1694915254237,17.5,-42.8571428571429,98.3870967741936,,216.666666666667,-16.6666666666667,3.99680288865056E-15,-2.69055282586065,2.69055282586065,0.358412791698517,0.20532100138204,-0.0848521295037118,1.75192393864874,0.142938822184105,0.372421935227317,-0.0556135337763542
"Census Tract 1048.22, Los Angeles County, California","Census Tract 1048.22","06037104822","00","06","037",,"104822",,,,,,,,2345,2045,300,87,22,0,156,2,13,20,2277,1998,279,75,24,1,162,0,3,14,68,47,21,12,-2,-1,-6,2,10,6,2.98638559508125,2.35235235235235,7.52688172043011,16,-8.33333333333333,-100,-3.7037037037037,,333.333333333333,42.8571428571429,-4.21884749357559E-15,-0.540212545403984,0.54021254540398,0.416213680327892,-0.115852134022154,-0.043917435221783,-0.4621724803425,0.0852878464818763,0.422618696466847,0.238034371713801
"Census Tract 1048.23, Los Angeles County, California","Census Tract 1048.23","06037104823","00","06","037",,"104823",,,,,,,,3024,2387,637,178,34,3,383,12,6,21,2910,2698,212,70,26,2,87,14,4,9,114,-311,425,108,8,1,296,-2,2,12,3.91752577319588,-11.527057079318,200.471698113208,154.285714285714,30.7692307692308,50,340.229885057471,-14.2857142857143,50,133.333333333333,-5.32907051820075E-15,-13.7795914471172,13.7795914471172,3.48074510445644,0.230867833960617,0.0304778268695794,9.67565319369443,-0.0842742595319915,0.0609556537391589,0.38516609392898
"Census Tract 1048.24, Los Angeles County, California","Census Tract 1048.24","06037104824","00","06","037",,"104824",,,,,,,,2207,2040,167,81,21,4,40,1,4,16,2418,2298,120,88,2,1,18,5,0,6,-211,-258,47,-7,19,3,22,-4,4,10,-8.7262200165426,-11.2271540469974,39.1666666666667,-7.95454545454545,950,300,122.222222222222,-80,,166.666666666667,4.88498130835069E-15,-2.60405364838473,2.60405364838473,0.0307690808589701,0.868804911659757,0.13988501133509,1.06799816959573,-0.16147208877086,0.181241504304486,0.476827059401566
"Census Tract 1060.10, Los Angeles County, California","Census Tract 1060.10","06037106010","00","06","037",,"106010",,,,,,,,3390,2375,1015,594,118,14,190,4,34,61,3152,2115,1037,621,165,9,180,2,7,53,238,260,-22,-27,-47,5,10,2,27,8,7.5507614213198,12.2931442080378,-2.12150433944069,-4.34782608695652,-28.4848484848485,55.5555555555556,5.55555555555556,100,385.714285714286,15.0943396226415,0,2.9587432430409,-2.9587432430409,-2.17965275594088,-1.753945614902,0.127446356108591,-0.105940134465358,0.0545423236452391,0.780868634233263,0.117937948280251
"Census Tract 1060.20, Los Angeles County, California","Census Tract 1060.20","06037106020","00","06","037",,"106020",,,,,,,,5557,4368,1189,790,88,17,194,2,32,66,5557,4241,1316,903,127,13,187,4,15,67,0,127,-127,-113,-39,4,7,-2,17,-1,0,2.99457675076633,-9.65045592705167,-12.5138427464009,-30.7086614173228,30.7692307692308,3.74331550802139,-50,113.333333333333,-1.49253731343284,2.66453525910038E-15,2.28540579449343,-2.28540579449343,-2.03347129746266,-0.701817527442865,0.0719812848659349,0.125967248515386,-0.0359906424329674,0.305920460680223,-0.0179953212164838
"Census Tract 1061.11, Los Angeles County, California","Census Tract 1061.11","06037106111","00","06","037",,"106111",,,,,,,,4331,2692,1639,1029,142,18,334,0,33,83,4337,2554,1782,1194,198,13,309,1,9,58,-6,138,-143,-165,-56,5,25,-1,24,25,-0.138344477749596,5.40328895849648,-8.02469135802469,-13.8190954773869,-28.2828282828283,38.4615384615385,8.09061488673139,-100,266.666666666667,43.1034482758621,0.0230574129582606,3.2679131369597,-3.24485572400144,-3.7716039467945,-1.28667924114652,0.115862036068055,0.587104235424757,-0.0230574129582661,0.554432025005714,0.579086580399325
"Census Tract 1061.12, Los Angeles County, California","Census Tract 1061.12","06037106112","00","06","037",,"106112",,,,,,,,6201,4441,1760,917,141,10,532,3,27,130,5966,4090,1877,1007,215,16,540,6,16,77,235,351,-117,-90,-74,-6,-8,-3,11,53,3.93898759637948,8.58190709046455,-6.23335109216835,-8.93743793445879,-34.4186046511628,-37.5,-1.48148148148148,-50,68.75,68.8311688311688,-0.0167616493463085,3.06233522509399,-3.0790968744403,-2.09104346227288,-1.32992780732488,-0.106922077333022,-0.472029237549576,-0.0521906024154615,0.167227253420082,0.805789059035443
"Census Tract 1061.13, Los Angeles County, California","Census Tract 1061.13","06037106113","00","06","037",,"106113",,,,,,,,3939,3001,938,509,86,9,274,0,11,49,3493,2670,823,550,75,19,155,4,2,18,446,331,115,-41,11,-10,119,-4,9,31,12.7683939307186,12.3970037453184,13.9732685297691,-7.45454545454545,14.6666666666667,-52.6315789473684,76.7741935483871,-100,450,172.222222222222,5.55111512312578E-15,-0.251742014475398,0.251742014475403,-2.82371583191044,0.0361438068535433,-0.31546064602276,2.5186339021931,-0.114514743773261,0.222001323213649,0.72865420392157
"Census Tract 1061.14, Los Angeles County, California","Census Tract 1061.14","06037106114","00","06","037",,"106114",,,,,,,,6643,5365,1278,505,234,7,441,9,22,60,5880,4995,885,439,213,21,133,1,10,68,763,370,393,66,21,-14,308,8,12,-8,12.9761904761905,7.40740740740741,44.4067796610169,15.0341685649203,9.85915492957746,-66.6666666666667,231.578947368421,800,120,-11.7647058823529,-2.66453525910038E-15,-4.18727554246145,4.18727554246145,0.136000659484026,-0.0999440872239306,-0.251768779166039,4.37666215063475,0.118474154677677,0.161107646430543,-0.253256202375576
"Census Tract 1064.03, Los Angeles County, California","Census Tract 1064.03","06037106403","00","06","037",,"106403",,,,,,,,3704,3282,422,260,18,9,86,0,10,39,3825,3401,424,296,44,4,51,0,6,23,-121,-119,-2,-36,-26,5,35,0,4,16,-3.16339869281046,-3.49897089091444,-0.471698113207547,-12.1621621621622,-59.0909090909091,125,68.6274509803922,,66.6666666666667,69.5652173913043,5.55111512312578E-15,-0.308121232654324,0.308121232654329,-0.719123646578862,-0.66436567427547,0.138405398156383,0.988480921526278,0,0.113115656629823,0.451608577196177
