Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003,Percent_Rent_Burden,Percent_Severe_Burden
06037104124,"Census Tract 1041.24, Los Angeles County, California",ACSSF,ca,140,0,4221,,,,,6,37,,,104124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104124,Census Tract 1041.24,,,,286,68,66,24%,23%
06037104201,"Census Tract 1042.01, Los Angeles County, California",ACSSF,ca,140,0,4222,,,,,6,37,,,104201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104201,Census Tract 1042.01,,,,188,33,98,18%,52%
06037104203,"Census Tract 1042.03, Los Angeles County, California",ACSSF,ca,140,0,4223,,,,,6,37,,,104203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104203,Census Tract 1042.03,,,,466,144,211,31%,45%
06037104204,"Census Tract 1042.04, Los Angeles County, California",ACSSF,ca,140,0,4224,,,,,6,37,,,104204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104204,Census Tract 1042.04,,,,258,85,55,33%,21%
06037104310,"Census Tract 1043.10, Los Angeles County, California",ACSSF,ca,140,0,4225,,,,,6,37,,,104310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104310,Census Tract 1043.10,,,,222,61,62,27%,28%
06037104321,"Census Tract 1043.21, Los Angeles County, California",ACSSF,ca,140,0,4226,,,,,6,37,,,104321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104321,Census Tract 1043.21,,,,602,307,120,51%,20%
06037104322,"Census Tract 1043.22, Los Angeles County, California",ACSSF,ca,140,0,4227,,,,,6,37,,,104322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104322,Census Tract 1043.22,,,,160,97,27,61%,17%
06037104401,"Census Tract 1044.01, Los Angeles County, California",ACSSF,ca,140,0,4228,,,,,6,37,,,104401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104401,Census Tract 1044.01,,,,269,96,76,36%,28%
06037104403,"Census Tract 1044.03, Los Angeles County, California",ACSSF,ca,140,0,4229,,,,,6,37,,,104403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104403,Census Tract 1044.03,,,,189,63,63,33%,33%
06037104404,"Census Tract 1044.04, Los Angeles County, California",ACSSF,ca,140,0,4230,,,,,6,37,,,104404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104404,Census Tract 1044.04,,,,418,65,163,16%,39%
06037104500,"Census Tract 1045, Los Angeles County, California",ACSSF,ca,140,0,4231,,,,,6,37,,,104500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104500,Census Tract 1045,,,,142,32,79,23%,56%
06037104610,"Census Tract 1046.10, Los Angeles County, California",ACSSF,ca,140,0,4232,,,,,6,37,,,104610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104610,Census Tract 1046.10,,,,263,96,100,37%,38%
06037104620,"Census Tract 1046.20, Los Angeles County, California",ACSSF,ca,140,0,4233,,,,,6,37,,,104620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104620,Census Tract 1046.20,,,,233,48,74,21%,32%
06037104701,"Census Tract 1047.01, Los Angeles County, California",ACSSF,ca,140,0,4234,,,,,6,37,,,104701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104701,Census Tract 1047.01,,,,644,185,193,29%,30%
06037104703,"Census Tract 1047.03, Los Angeles County, California",ACSSF,ca,140,0,4235,,,,,6,37,,,104703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104703,Census Tract 1047.03,,,,348,91,67,26%,19%
06037104704,"Census Tract 1047.04, Los Angeles County, California",ACSSF,ca,140,0,4236,,,,,6,37,,,104704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104704,Census Tract 1047.04,,,,399,132,145,33%,36%
06037104821,"Census Tract 1048.21, Los Angeles County, California",ACSSF,ca,140,0,4237,,,,,6,37,,,104821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104821,Census Tract 1048.21,,,,401,101,106,25%,26%
06037104822,"Census Tract 1048.22, Los Angeles County, California",ACSSF,ca,140,0,4238,,,,,6,37,,,104822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104822,Census Tract 1048.22,,,,444,142,168,32%,38%
06037104823,"Census Tract 1048.23, Los Angeles County, California",ACSSF,ca,140,0,4239,,,,,6,37,,,104823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037104823,Census Tract 1048.23,,,,153,13,103,8%,67%
