name,year,total_jobs_count
Irwindale,2019,16484.74
Pico-Union,2019,10516.11
Glendora,2019,21029.55
Industry,2019,60379.18
Sylmar,2019,20444.1
Torrance,2019,105054.21
Alhambra,2019,27386.85
Pico Rivera,2019,18418.16
Rolling Hills Estates,2019,2440.66
Signal Hill,2019,15472.09
Hawthorne,2019,25489.43
North Hills,2019,9615.66
Hacienda Heights,2019,9934.99
Harbor Gateway,2019,31028.04
Lopez/Kagel Canyons,2019,111.06
Citrus,2019,1126.08
Lake Balboa,2019,10142.76
Granada Hills,2019,11503.87
Palms,2019,11260
Santa Monica,2019,87744.19
Pacoima,2019,15939.35
Toluca Lake,2019,2935.17
Veterans Administration,2019,9285.28
Valley Village,2019,5024.06
Brentwood,2019,20467.51
Pomona,2019,51978.07
South Whittier,2019,7537.05
Pasadena,2019,108790.94
Winnetka,2019,10416.34
Palmdale,2019,33223.63
Porter Ranch,2019,4509.97
South El Monte,2019,11570.28
Tujunga Canyons,2019,1490.93
Commerce,2019,53378.46
San Fernando,2019,9277.54
Sherman Oaks,2019,35441.49
Bradbury,2019,351.23
Panorama City,2019,14714.59
Northridge,2019,35275.04
Culver City,2019,58109.83
Lakewood,2019,20534.27
Compton,2019,30068.5
Vernon,2019,39801.81
San Dimas,2019,20245.72
Inglewood,2019,28394.14
Charter Oak,2019,2113.93
Paramount,2019,19491.99
San Pedro,2019,16433.93
Lincoln Heights,2019,11279.53
Boyle Heights,2019,30283.31
Historic South-Central,2019,15633.12
Avalon,2019,1899.11
Westlake,2019,55769.37
Mission Hills,2019,9122.59
Quartz Hill,2019,1406.96
Marina del Rey,2019,5246.25
Bell,2019,10306.86
Long Beach,2019,165187.41
San Gabriel,2019,12875.58
Downey,2019,48024.67
Diamond Bar,2019,22360.38
La Canada Flintridge,2019,6097.72
West Covina,2019,30712.1
Redondo Beach,2019,27312.31
Vermont Square,2019,5096.17
Santa Fe Springs,2019,60632.29
Calabasas,2019,13544.14
Altadena,2019,6708.55
Bell Gardens,2019,10109.46
Sun Valley,2019,24334
Playa Vista,2019,16325.83
Carson,2019,64857.22
Hollywood Hills,2019,33623.05
Lancaster,2019,44188.16
Leona Valley,2019,175.83
Whittier,2019,29990.41
Walnut,2019,10524.2
Castaic Canyons,2019,11811.91
Silver Lake,2019,6708.28
Whittier Narrows,2019,4938.6
Glendale,2019,111812.19
West Whittier-Los Nietos,2019,3895.32
Atwater Village,2019,7008.84
East Whittier,2019,1109.63
El Sereno,2019,9355.55
Montecito Heights,2019,1354.58
Florence,2019,7048.08
Huntington Park,2019,14212.61
Cheviot Hills,2019,1749.25
Cypress Park,2019,2428.39
Desert View Highlands,2019,725.22
Baldwin Park,2019,22224.54
Montebello,2019,24269.47
Leimert Park,2019,2673.06
Santa Clarita,2019,63919.9
Elysian Park,2019,1678.25
Wilmington,2019,15196.06
Jefferson Park,2019,2768.08
Downtown,2019,335257.2
Encino,2019,29837.21
West Adams,2019,4492.81
Hawaiian Gardens,2019,2108.82
Agoura Hills,2019,12345.02
Baldwin Hills/Crenshaw,2019,7281.69
Lake View Terrace,2019,2109.89
Adams-Normandie,2019,1767.42
El Monte,2019,32286.27
Rancho Dominguez,2019,13547.17
Acton,2019,570.42
Studio City,2019,32214.96
La Puente,2019,4747.16
North Hollywood,2019,22166.7
Rosemead,2019,15195.78
San Marino,2019,3718.69
East San Gabriel,2019,3345.85
South Park,2019,2740
Burbank,2019,260490.14
Woodland Hills,2019,63802.22
Angeles Crest,2019,1361.63
East Compton,2019,807.29
