,Tract,Permit Type,Permit Sub-Type,Issue Date,# of Residential Dwelling Units,AFFD,Zone,Census Tract,Latitude,Longitude,geometry
6188,TR 7965,Bldg-New,1 or 2 Family Dwelling,2021-04-16,1,NOAH,R1V2,2170.02,34.04619,-118.38286,POINT (-118.38286 34.04619)
6189,TR 7681,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-01-19,1,NOAH,R1V2,2721.0,34.00265,-118.4492,POINT (-118.4492 34.00265)
6190,SHALLOT TERRACE,Bldg-Addition,Apartment,2021-01-18,1,NOAH,RD1.5-1,1816.0,34.13342,-118.21651,POINT (-118.21651 34.13342)
6191,TR 1658,Bldg-New,1 or 2 Family Dwelling,2018-12-05,1,NOAH,RD1.5-1XL,1919.01,34.09346,-118.34234,POINT (-118.34234 34.09346)
6192,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-01-28,1,NOAH,[T]RE-1,1082.02,34.28452,-118.5769,POINT (-118.5769 34.28452)
6196,TR 1658,Bldg-New,1 or 2 Family Dwelling,2018-12-05,1,NOAH,RD1.5-1XL,1919.01,34.0935,-118.34244,POINT (-118.34244 34.0935)
6197,TR 9092,Bldg-New,1 or 2 Family Dwelling,2018-03-23,1,NOAH,RE15-1-H,2624.0,34.07965,-118.50339,POINT (-118.50339 34.07965)
6198,TR 1658,Bldg-New,1 or 2 Family Dwelling,2018-12-05,1,NOAH,RD1.5-1XL,1919.01,34.09339,-118.34235,POINT (-118.34235 34.09339)
6199,TR 9377,Bldg-New,1 or 2 Family Dwelling,2022-02-01,1,NOAH,R1V1,2627.06,34.04323,-118.5224,POINT (-118.5224 34.04323)
6200,TR 18860,Bldg-New,1 or 2 Family Dwelling,2020-12-17,1,NOAH,RE15-1-H,1397.02,34.14545,-118.48828,POINT (-118.48828 34.14545)
6201,TR 1658,Bldg-New,1 or 2 Family Dwelling,2018-12-05,1,NOAH,RD1.5-1XL,1919.01,34.09338,-118.34245,POINT (-118.34245 34.09338)
6202,HAY'S ADDITION TO THE SUNSET TRACT,Bldg-Alter/Repair,Apartment,2021-01-21,1,NOAH,R4-1,2084.01,34.0625,-118.27,POINT (-118.27 34.0625)
6203,TR 28709,Bldg-New,1 or 2 Family Dwelling,2016-11-30,1,NOAH,RE40-1-H,1941.02,34.11049,-118.36713,POINT (-118.36713 34.11049)
6204,TR 1658,Bldg-New,1 or 2 Family Dwelling,2018-12-05,1,NOAH,RD1.5-1XL,1919.01,34.09338,-118.34255,POINT (-118.34255 34.09338)
6205,DU RAY PLACE,Bldg-New,1 or 2 Family Dwelling,2021-11-01,1,NOAH,RD2-1,2199.02,34.03059,-118.36544,POINT (-118.36544 34.03059)
6206,TR 5396,Bldg-New,1 or 2 Family Dwelling,2019-07-08,1,NOAH,R1-1,1851.0,34.103,-118.20895,POINT (-118.20895 34.103)
6207,LOS ANGELES OLIVE GROWERS ASSOCIATION LANDS,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-01-21,1,NOAH,RD1.5-1XL,1064.06,34.31924,-118.46254,POINT (-118.46254 34.31924)
6208,TR 10132,Bldg-New,1 or 2 Family Dwelling,2019-06-12,1,NOAH,R1-1-RIO,1436.02,34.14961,-118.39523,POINT (-118.39523 34.14961)
6211,TR 7260,Bldg-New,1 or 2 Family Dwelling,2019-04-17,1,NOAH,R3-1-O,2679.02,34.04741,-118.41777,POINT (-118.41777 34.04741)
6212,TR 1584,Bldg-New,1 or 2 Family Dwelling,2021-07-09,1,NOAH,(Q)RD3-1,1193.1,34.24284,-118.45446,POINT (-118.45446 34.24284)
6214,TR 5780,Bldg-New,1 or 2 Family Dwelling,2021-09-24,1,NOAH,RD2-1,2200.0,34.02631,-118.34156,POINT (-118.34156 34.02631)
6215,PIONEER INVESTMENT AND TRUST COMPANY'S WINDERMERE PARK,Bldg-Alter/Repair,Apartment,2019-10-09,1,NOAH,R3-1,1926.1,34.07949,-118.29561,POINT (-118.29561 34.07949)
6216,TR 4424,Bldg-New,1 or 2 Family Dwelling,2018-09-26,1,NOAH,R1-1,2739.02,33.98669,-118.45939,POINT (-118.45939 33.98669)
6217,TR 5244,Bldg-New,1 or 2 Family Dwelling,2019-07-26,1,NOAH,R3-1XL,1944.01,34.08096,-118.36252,POINT (-118.36252 34.08096)
6218,TR 12110,Bldg-Addition,1 or 2 Family Dwelling,2022-08-01,1,NOAH,R1R3-RG,2696.02,34.04532,-118.38226,POINT (-118.38226 34.04532)
6225,TR 3634,Bldg-New,1 or 2 Family Dwelling,2019-12-04,1,NOAH,[Q]C2-1VL,1973.0,34.08035,-118.25492,POINT (-118.25492 34.08035)
6226,VENICE ANNEX,Bldg-Relocation,1 or 2 Family Dwelling,2019-03-11,1,NOAH,R2-1,2736.0,33.99527,-118.45767,POINT (-118.45767 33.99527)
6228,TR 7307,Bldg-New,1 or 2 Family Dwelling,2020-10-07,1,NOAH,R1-1-RIO,1289.1,34.16201,-118.45421,POINT (-118.45421 34.16201)
6229,TR 16424,Bldg-New,1 or 2 Family Dwelling,2021-11-02,1,NOAH,R1V2,2770.0,33.9765,-118.4018,POINT (-118.4018 33.9765)
6233,TR 6340,Bldg-New,1 or 2 Family Dwelling,2019-11-19,1,NOAH,R1-1,1862.03,34.11339,-118.21849,POINT (-118.21849 34.11339)
6234,TR 3634,Bldg-New,1 or 2 Family Dwelling,2019-12-04,1,NOAH,[Q]C2-1VL,1973.0,34.08035,-118.25492,POINT (-118.25492 34.08035)
6235,TR 1000,Bldg-New,1 or 2 Family Dwelling,2021-04-30,1,NOAH,R1-1,1286.02,34.16871,-118.43585,POINT (-118.43585 34.16871)
6237,SOUTH VERMONT AVENUE TRACT,Bldg-Alter/Repair,1 or 2 Family Dwelling,2019-12-18,1,NOAH,RD2-1,2375.0,33.97991,-118.28831,POINT (-118.28831 33.97991)
6239,NEW YORK SYNDICATE TRACT,Bldg-New,1 or 2 Family Dwelling,2018-10-30,1,NOAH,R1-1,1834.01,34.1195,-118.21055,POINT (-118.21055 34.1195)
6240,ARLINGTON HEIGHTS TERRACE SUBDIVISION NO. 1,Bldg-Alter/Repair,Apartment,2020-01-10,1,NOAH,RD1.5-1-O,2182.2,34.04552,-118.33769,POINT (-118.33769 34.04552)
6241,TR 3634,Bldg-New,1 or 2 Family Dwelling,2019-12-04,1,NOAH,[Q]C2-1VL,1973.0,34.08029,-118.25496,POINT (-118.25496 34.08029)
6242,TR 9502,Bldg-New,1 or 2 Family Dwelling,2020-07-27,1,NOAH,R1-1-RIO,1433.0,34.15129,-118.38021,POINT (-118.38021 34.15129)
6243,TR 12397,Bldg-New,1 or 2 Family Dwelling,2018-08-17,1,NOAH,R1-1,2717.01,34.03053,-118.42228,POINT (-118.42228 34.03053)
6244,TR 3634,Bldg-New,1 or 2 Family Dwelling,2019-12-04,1,NOAH,[Q]C2-1VL,1973.0,34.08029,-118.25496,POINT (-118.25496 34.08029)
6245,MC COMBS SOUTH WEST TRACT,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-11-10,1,NOAH,R2-1-O,2225.0,34.02178,-118.30644,POINT (-118.30644 34.02178)
6246,PIONEER INVESTMENT AND TRUST CO'S UNIVERSITY PLACE,Bldg-New,1 or 2 Family Dwelling,2019-10-17,1,NOAH,R2-1,2316.0,34.00899,-118.30146,POINT (-118.30146 34.00899)
6248,MORTIMER'S EAST HOLLYWOOD VIEW TRACT,Bldg-Addition,1 or 2 Family Dwelling,2016-04-15,1,NOAH,RD2-1XL,1912.04,34.09288,-118.29851,POINT (-118.29851 34.09288)
6249,TR 14701,Bldg-New,1 or 2 Family Dwelling,2021-04-28,1,NOAH,RE15-1-H,1415.0,34.14592,-118.47767,POINT (-118.47767 34.14592)
6250,TR 49104-06-C,Bldg-New,1 or 2 Family Dwelling,2019-05-31,1,NOAH,R4(PV),2756.02,33.9721,-118.42177,POINT (-118.42177 33.9721)
6253,TR 6893,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-05-25,1,NOAH,R1-1,2352.02,33.9717,-118.33261,POINT (-118.33261 33.9717)
