,Tract,Permit Type,Permit Sub-Type,Issue Date,# of Residential Dwelling Units,AFFD,Zone,Census Tract,Latitude,Longitude,geometry
0,TR 49104-06-C,Bldg-New,1 or 2 Family Dwelling,2019-05-31,1,NOAH,R4(PV),2756.02,33.9721,-118.42177,POINT (-118.42177 33.9721)
1,"BLOCKS NO'S. 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23 & 24 ELYSIAN HEI",Bldg-New,1 or 2 Family Dwelling,2021-09-30,1,NOAH,RD2-1VL,1974.1,34.08801,-118.25256,POINT (-118.25256 34.08801)
2,TR 74704,Bldg-New,1 or 2 Family Dwelling,2021-01-22,1,NOAH,(T)(Q)R1-1,1174.04,34.22664,-118.47725,POINT (-118.47725 34.22664)
4,TR 74704,Bldg-New,1 or 2 Family Dwelling,2021-01-22,1,NOAH,(T)(Q)R1-1,1174.04,34.22664,-118.47668,POINT (-118.47668 34.22664)
5,TR 13112,Bldg-New,1 or 2 Family Dwelling,2021-10-04,1,NOAH,RA-1,2623.03,34.07114,-118.48214,POINT (-118.48214 34.07114)
6,TR 63149,Bldg-New,1 or 2 Family Dwelling,2017-08-30,1,NOAH,RE11-1,1235.1,34.19767,-118.42772,POINT (-118.42772 34.19767)
8,P M 2009-3945,Bldg-New,1 or 2 Family Dwelling,2019-06-18,1,NOAH,RA-1,1393.01,34.17456,-118.55988,POINT (-118.55988 34.17456)
9,TR 49104-06-C,Bldg-New,1 or 2 Family Dwelling,2019-05-31,1,NOAH,R4(PV),2756.02,33.9721,-118.42177,POINT (-118.42177 33.9721)
10,TR 5593,Bldg-New,1 or 2 Family Dwelling,2021-10-06,1,NOAH,RD1.5-1,1437.0,34.13313,-118.36148,POINT (-118.36148 34.13313)
11,TR 2800,Bldg-New,1 or 2 Family Dwelling,2017-07-19,1,NOAH,(T)(Q)RD2-1,1174.04,34.22316,-118.48506,POINT (-118.48506 34.22316)
13,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-03-03,1,NOAH,[T]RE-1,1082.02,34.28433,-118.57742,POINT (-118.57742 34.28433)
14,TR 6052,Bldg-New,1 or 2 Family Dwelling,2017-05-22,1,NOAH,R1-1,2721.0,34.00514,-118.43733,POINT (-118.43733 34.00514)
15,REPLAT OF OCEAN PARK HEIGHTS,Bldg-New,1 or 2 Family Dwelling,2017-03-07,1,NOAH,R1-1,2719.02,34.0102,-118.43502,POINT (-118.43502 34.0102)
16,TR 9803,Bldg-New,1 or 2 Family Dwelling,2019-05-21,1,NOAH,R1-1-RIO,1433.0,34.15157,-118.38213,POINT (-118.38213 34.15157)
17,TR 2756,Bldg-New,1 or 2 Family Dwelling,2018-12-27,1,NOAH,C2-1,2185.0,34.03941,-118.3476,POINT (-118.3476 34.03941)
19,TR 12376,Bldg-New,1 or 2 Family Dwelling,2019-10-31,1,NOAH,R1-1-O,2678.0,34.03832,-118.42841,POINT (-118.42841 34.03832)
23,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-03-07,1,NOAH,[T]RE-1,1082.02,34.28322,-118.58092,POINT (-118.58092 34.28322)
26,TR 33134,Bldg-Alter/Repair,Apartment,2019-05-10,1,NOAH,R3-1,1310.1,34.21923,-118.53629,POINT (-118.53629 34.21923)
27,TR 12328,Bldg-New,1 or 2 Family Dwelling,2017-11-06,1,NOAH,R1-1,2625.01,34.04897,-118.52578,POINT (-118.52578 34.04897)
28,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-03-03,1,NOAH,[T]RE-1,1082.02,34.28437,-118.57763,POINT (-118.57763 34.28437)
30,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
34,TR 7580,Bldg-New,1 or 2 Family Dwelling,2019-04-12,1,NOAH,R1V2-O,2691.0,34.05347,-118.39112,POINT (-118.39112 34.05347)
36,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
38,TR 7127,Bldg-Addition,Apartment,2018-01-11,1,NOAH,RD1.5-1,2193.0,34.02428,-118.33152,POINT (-118.33152 34.02428)
39,THE MC CARTHY COMPANY'S GREATER LOS ANGELES TRACT,Bldg-Addition,1 or 2 Family Dwelling,2019-03-14,1,NOAH,R2-1,2393.2,33.97864,-118.27056,POINT (-118.27056 33.97864)
41,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
42,ROSE HILL COURT,Bldg-New,1 or 2 Family Dwelling,2020-05-11,1,NOAH,[Q]R1-1D,1991.1,34.08177,-118.19467,POINT (-118.19467 34.08177)
43,BOWEN'S VERNON AND HOOPER AVE TRACT,Bldg-Addition,1 or 2 Family Dwelling,2020-05-13,1,NOAH,R2-1,2282.2,34.00719,-118.25065,POINT (-118.25065 34.00719)
44,SHAFER AND LANTERMAN TRACT,Bldg-Addition,Apartment,2018-05-17,1,NOAH,R3-1XL,1912.03,34.09353,-118.29595,POINT (-118.29595 34.09353)
45,TR 9300,Bldg-New,1 or 2 Family Dwelling,2018-09-04,1,NOAH,R1V1,2625.01,34.0472,-118.52017,POINT (-118.52017 34.0472)
47,TR 11233,Bldg-New,1 or 2 Family Dwelling,2020-01-17,1,NOAH,RE11-1-HCR,1941.02,34.12269,-118.36979,POINT (-118.36979 34.12269)
49,HYLAND HEIGHTS TRACT,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-02-11,1,NOAH,R2-1-CUGU,2038.0,34.04474,-118.19684,POINT (-118.19684 34.04474)
50,TR 9755,Bldg-New,1 or 2 Family Dwelling,2018-04-20,1,NOAH,R1-1,2654.1,34.06787,-118.46617,POINT (-118.46617 34.06787)
52,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.28152,-118.38439,POINT (-118.38439 34.28152)
53,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-02-15,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
54,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.2816,-118.38448,POINT (-118.38448 34.2816)
55,TR 1338,Bldg-New,1 or 2 Family Dwelling,2017-07-11,1,NOAH,R1-1,1321.02,34.20529,-118.50007,POINT (-118.50007 34.20529)
56,BRENTWOOD PARK,Bldg-New,1 or 2 Family Dwelling,2021-06-25,1,NOAH,RE20-1,2640.0,34.05186,-118.4843,POINT (-118.4843 34.05186)
57,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-04-09,1,NOAH,[T]RE-1,1082.02,34.28316,-118.58114,POINT (-118.58114 34.28316)
58,TR 21715,Bldg-New,1 or 2 Family Dwelling,2018-11-13,1,NOAH,RE11-1,1397.02,34.14028,-118.49843,POINT (-118.49843 34.14028)
60,TR 4424,Bldg-New,1 or 2 Family Dwelling,2017-12-05,1,NOAH,R1-1-O,2739.02,33.98703,-118.46105,POINT (-118.46105 33.98703)
63,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-02-15,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
65,BOWEN AND CHAMBERLIN'S MAIN STREET BOULEVARD TRACT,Bldg-Addition,1 or 2 Family Dwelling,2017-04-19,1,NOAH,R3-1,2318.0,34.00395,-118.27507,POINT (-118.27507 34.00395)
66,TR 25195,Bldg-New,1 or 2 Family Dwelling,2020-01-17,1,NOAH,RE15-1-H-HCR,2611.02,34.09668,-118.41719,POINT (-118.41719 34.09668)
67,TR 5588,Bldg-New,1 or 2 Family Dwelling,2017-09-13,1,NOAH,R1-1-RFA-RIO,1434.0,34.15192,-118.41036,POINT (-118.41036 34.15192)
68,TR 9300,Bldg-New,1 or 2 Family Dwelling,2018-09-11,1,NOAH,R1-1,2627.06,34.03746,-118.52937,POINT (-118.52937 34.03746)
69,SUBDIVISION NO. 1 OF THE PROPERTY OF THE PORTER LAND AND WATER COMPANY,Bldg-New,1 or 2 Family Dwelling,2018-10-25,1,NOAH,A2-1,1172.02,34.23677,-118.48485,POINT (-118.48485 34.23677)
74,TR 10866,Bldg-New,1 or 2 Family Dwelling,2017-10-27,1,NOAH,RE11-1-RFA-RIO,1436.02,34.14311,-118.38538,POINT (-118.38538 34.14311)
77,TR 9491,Bldg-New,1 or 2 Family Dwelling,2019-08-13,1,NOAH,R1-1-RIO,1431.0,34.15061,-118.35393,POINT (-118.35393 34.15061)
78,TR 6193,Bldg-New,1 or 2 Family Dwelling,2017-09-08,1,NOAH,R1-1-O,2657.0,34.06155,-118.42135,POINT (-118.42135 34.06155)
79,TR 7260,Bldg-New,1 or 2 Family Dwelling,2018-01-26,1,NOAH,R1-1-O,2671.0,34.05656,-118.42012,POINT (-118.42012 34.05656)
80,TR 5531,Bldg-Addition,1 or 2 Family Dwelling,2017-11-28,1,NOAH,RD2-1,2184.0,34.03446,-118.35858,POINT (-118.35858 34.03446)
81,TR 7385,Bldg-New,1 or 2 Family Dwelling,2019-05-07,1,NOAH,R2-1-O,2170.02,34.04936,-118.37896,POINT (-118.37896 34.04936)
84,TR 8978,Bldg-New,1 or 2 Family Dwelling,2017-03-10,1,NOAH,RE11-1,2628.02,34.04681,-118.5056,POINT (-118.5056 34.04681)
86,TR 6659,Bldg-New,1 or 2 Family Dwelling,2019-05-13,1,NOAH,R1V2,2170.01,34.04845,-118.3878,POINT (-118.3878 34.04845)
87,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
88,TR 14783,Bldg-New,1 or 2 Family Dwelling,2018-03-22,1,NOAH,R1-1,1397.01,34.16214,-118.49976,POINT (-118.49976 34.16214)
90,PIONEER INVESTMENT AND TRUST CO'S UNIVERSITY PLACE,Bldg-Alter/Repair,Apartment,2019-06-13,1,NOAH,R2-1,2316.0,34.00909,-118.30328,POINT (-118.30328 34.00909)
91,TR 15375,Bldg-New,1 or 2 Family Dwelling,2016-11-03,1,NOAH,RE15-1,2623.03,34.0676,-118.48727,POINT (-118.48727 34.0676)
92,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2019-10-29,1,NOAH,[T]RE-1,1082.02,34.28551,-118.57202,POINT (-118.57202 34.28551)
94,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-01-12,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
96,TR 18529,Bldg-New,1 or 2 Family Dwelling,2020-01-16,1,NOAH,RA-1,1397.01,34.15055,-118.50396,POINT (-118.50396 34.15055)
97,TR 9502,Bldg-New,1 or 2 Family Dwelling,2019-06-06,1,NOAH,RD2-1-RIO,1433.0,34.14893,-118.38021,POINT (-118.38021 34.14893)
98,LEMONA TRACT,Bldg-New,Commercial,2021-02-24,1,NOAH,R4-2,1909.01,34.09606,-118.31193,POINT (-118.31193 34.09606)
99,TR 4511,Bldg-New,1 or 2 Family Dwelling,2018-07-12,1,NOAH,RD2-1,2382.0,33.96602,-118.30265,POINT (-118.30265 33.96602)
100,TR 5635,Bldg-New,1 or 2 Family Dwelling,2019-04-24,1,NOAH,R1-1VL-RIO,1972.0,34.0881,-118.22962,POINT (-118.22962 34.0881)
102,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-01-28,1,NOAH,[T]RE-1,1082.02,34.2843,-118.57721,POINT (-118.57721 34.2843)
105,TR 8463,Bldg-New,1 or 2 Family Dwelling,2017-09-15,1,NOAH,RD2-1VL,1951.0,34.09733,-118.27464,POINT (-118.27464 34.09733)
106,TR 14661,Bldg-New,1 or 2 Family Dwelling,2018-03-09,1,NOAH,RE15-1-H,1397.01,34.14873,-118.49831,POINT (-118.49831 34.14873)
107,NEW YORK TRACT,Bldg-New,1 or 2 Family Dwelling,2018-08-06,1,NOAH,RD1.5-1,1832.2,34.11997,-118.19639,POINT (-118.19639 34.11997)
108,BEATH'S FIGUEROA MONETA AVE. TRACT,Bldg-New,1 or 2 Family Dwelling,2019-07-03,1,NOAH,RD2-1,2403.0,33.95609,-118.28159,POINT (-118.28159 33.95609)
109,TR 4511,Bldg-New,1 or 2 Family Dwelling,2019-02-19,1,NOAH,RD2-1,2381.0,33.96192,-118.30786,POINT (-118.30786 33.96192)
110,TR 11877,Bldg-New,1 or 2 Family Dwelling,2020-02-06,1,NOAH,R1-1-RIO,1433.0,34.15343,-118.38458,POINT (-118.38458 34.15343)
111,TR 16424,Bldg-New,1 or 2 Family Dwelling,2018-05-17,1,NOAH,R1V2,2770.0,33.97804,-118.39898,POINT (-118.39898 33.97804)
113,TR 9215,Bldg-New,1 or 2 Family Dwelling,2019-06-27,1,NOAH,R1-1-RIO,1435.0,34.14834,-118.40744,POINT (-118.40744 34.14834)
117,TR 3867,Bldg-New,1 or 2 Family Dwelling,2017-05-17,1,NOAH,R1-1,1852.04,34.10213,-118.22813,POINT (-118.22813 34.10213)
118,TR 7965,Bldg-New,1 or 2 Family Dwelling,2019-12-16,1,NOAH,R1V2,2170.02,34.04606,-118.3829,POINT (-118.3829 34.04606)
119,TR 9300,Bldg-New,1 or 2 Family Dwelling,2019-04-18,1,NOAH,R1V1,2625.01,34.0498,-118.52179,POINT (-118.52179 34.0498)
120,TR 69122,Bldg-New,1 or 2 Family Dwelling,2018-05-04,1,NOAH,R1-1,1321.02,34.20549,-118.50023,POINT (-118.50023 34.20549)
121,TR 10031,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-05-09,1,NOAH,R1-1,1255.01,34.16256,-118.36255,POINT (-118.36255 34.16256)
122,PIRCH SYNDICATE TRACT,Bldg-New,1 or 2 Family Dwelling,2017-07-03,1,NOAH,R1-1,1832.2,34.12188,-118.18913,POINT (-118.18913 34.12188)
123,TR 640,Bldg-New,1 or 2 Family Dwelling,2018-06-25,1,NOAH,R2-1VL,1954.0,34.09133,-118.27364,POINT (-118.27364 34.09133)
124,TR 7307,Bldg-New,1 or 2 Family Dwelling,2019-08-13,1,NOAH,R1-1-RIO,1289.1,34.16138,-118.45923,POINT (-118.45923 34.16138)
126,TR 6790,Bldg-New,1 or 2 Family Dwelling,2018-05-01,1,NOAH,R1V3,1945.0,34.07948,-118.36705,POINT (-118.36705 34.07948)
129,THE MC CARTHY COMPANY'S GREATER LOS ANGELES TRACT,Bldg-Addition,1 or 2 Family Dwelling,2016-11-29,1,NOAH,R2-1,2393.2,33.97889,-118.27175,POINT (-118.27175 33.97889)
132,NEW YORK TRACT,Bldg-New,1 or 2 Family Dwelling,2018-08-06,1,NOAH,RD1.5-1,1832.2,34.11997,-118.19639,POINT (-118.19639 34.11997)
133,TR 7082,Bldg-New,1 or 2 Family Dwelling,2019-01-31,1,NOAH,R1-1,2623.02,34.06484,-118.47652,POINT (-118.47652 34.06484)
136,TR 8786,Bldg-New,1 or 2 Family Dwelling,2018-06-29,1,NOAH,R1-1-CUGU,1211.01,34.22288,-118.36382,POINT (-118.36382 34.22288)
137,TR 15299,Bldg-New,1 or 2 Family Dwelling,2019-06-13,1,NOAH,R1V2,2690.0,34.03435,-118.40591,POINT (-118.40591 34.03435)
139,CRENSHAW HEIGHTS TRACT,Bldg-Alter/Repair,Apartment,2016-02-12,1,NOAH,[Q]R3-1-O,2213.04,34.04368,-118.31511,POINT (-118.31511 34.04368)
140,TR 5900,Bldg-New,1 or 2 Family Dwelling,2019-08-06,1,NOAH,R1-1,2697.0,34.03649,-118.38444,POINT (-118.38444 34.03649)
141,TR 6143,Bldg-New,1 or 2 Family Dwelling,2018-10-04,1,NOAH,R1V2,1920.02,34.08098,-118.34969,POINT (-118.34969 34.08098)
142,TR 6757,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-06-22,1,NOAH,C2-1VL-CPIO,2379.0,33.96875,-118.3088,POINT (-118.3088 33.96875)
143,TR 7195,Bldg-New,1 or 2 Family Dwelling,2022-01-06,1,NOAH,R1V2,2690.0,34.03548,-118.3989,POINT (-118.3989 34.03548)
144,TR 2590,Bldg-New,1 or 2 Family Dwelling,2018-03-30,1,NOAH,R1-1-RFA-RIO,1434.0,34.15589,-118.40895,POINT (-118.40895 34.15589)
145,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-02-15,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
146,TR 2304,Bldg-New,1 or 2 Family Dwelling,2019-06-19,1,NOAH,[Q]R1-1D,1993.0,34.09072,-118.19992,POINT (-118.19992 34.09072)
147,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-05-30,1,NOAH,[T]RE-1,1082.02,34.28291,-118.58209,POINT (-118.58209 34.28291)
148,TR 16514,Bldg-Addition,1 or 2 Family Dwelling,2017-04-07,1,NOAH,R1-1-RIO,1330.0,34.19536,-118.55446,POINT (-118.55446 34.19536)
151,TR 5609,Bldg-New,1 or 2 Family Dwelling,2017-07-18,1,NOAH,RD1.5-1-O,2671.0,34.05567,-118.42409,POINT (-118.42409 34.05567)
153,TR 7633,Bldg-New,1 or 2 Family Dwelling,2020-06-12,1,NOAH,R1-1,1417.0,34.14439,-118.4297,POINT (-118.4297 34.14439)
154,TR 5609,Bldg-New,1 or 2 Family Dwelling,2017-07-18,1,NOAH,RD1.5-1-O,2671.0,34.05567,-118.42409,POINT (-118.42409 34.05567)
156,NEW YORK TRACT,Bldg-New,1 or 2 Family Dwelling,2018-08-06,1,NOAH,RD1.5-1,1832.2,34.11997,-118.19639,POINT (-118.19639 34.11997)
158,TR 12978,Bldg-New,1 or 2 Family Dwelling,2021-02-25,1,NOAH,R1-1-HCR,1942.0,34.09836,-118.37116,POINT (-118.37116 34.09836)
160,TR 5069,Bldg-Addition,1 or 2 Family Dwelling,2016-03-31,1,NOAH,R2-1-O,2172.0,34.05316,-118.34629,POINT (-118.34629 34.05316)
162,TR 7555,Bldg-New,1 or 2 Family Dwelling,2019-02-06,1,NOAH,R1-1-O-RFA,2147.0,34.06983,-118.36922,POINT (-118.36922 34.06983)
164,TR 6460,Bldg-New,1 or 2 Family Dwelling,2020-04-15,1,NOAH,RD1.5-1,2703.0,34.03711,-118.36654,POINT (-118.36654 34.03711)
165,SHAFER AND LANTERMAN'S SUBDIVISION OF THE MONTAGUE TRACT,Bldg-Addition,Apartment,2018-12-21,1,NOAH,RD1.5-1,2246.0,34.02125,-118.26922,POINT (-118.26922 34.02125)
166,TR 9616,Bldg-New,1 or 2 Family Dwelling,2018-10-03,1,NOAH,R1-1,2651.0,34.07727,-118.43705,POINT (-118.43705 34.07727)
167,STEGE HOME TRACT,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,R2-1,2422.0,33.94935,-118.24092,POINT (-118.24092 33.94935)
168,TR 16210,Bldg-New,1 or 2 Family Dwelling,2016-03-08,1,NOAH,RE15-1-H,2623.02,34.08252,-118.48576,POINT (-118.48576 34.08252)
170,OAK HILL PARK TRACT,Bldg-New,1 or 2 Family Dwelling,2017-11-02,1,NOAH,RD1.5-1,1837.02,34.10706,-118.18351,POINT (-118.18351 34.10706)
171,P M 2014-1498,Bldg-New,1 or 2 Family Dwelling,2018-11-08,1,NOAH,R1-1,1345.22,34.20657,-118.60238,POINT (-118.60238 34.20657)
173,TR 5419,Bldg-New,1 or 2 Family Dwelling,2018-08-15,1,NOAH,R1-1,1862.03,34.11895,-118.21209,POINT (-118.21209 34.11895)
174,HILL CREST TRACT NO. 2,Bldg-New,1 or 2 Family Dwelling,2019-10-02,1,NOAH,R1V2,2719.02,34.01065,-118.42918,POINT (-118.42918 34.01065)
175,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
176,TR 586,Bldg-New,1 or 2 Family Dwelling,2018-10-18,1,NOAH,R1-1XL-O-CUGU,2946.2,33.78709,-118.24449,POINT (-118.24449 33.78709)
177,THREE G TRACT,Bldg-New,1 or 2 Family Dwelling,2019-01-15,1,NOAH,R2-1,2371.01,33.98425,-118.29316,POINT (-118.29316 33.98425)
178,YORK TRACT,Bldg-New,1 or 2 Family Dwelling,2019-05-15,1,NOAH,C1-1VL,2407.0,33.94719,-118.25386,POINT (-118.25386 33.94719)
179,TR 2955,Bldg-New,1 or 2 Family Dwelling,2019-03-15,1,NOAH,R1-1,1397.01,34.163,-118.49438,POINT (-118.49438 34.163)
180,TR 10866,Bldg-New,1 or 2 Family Dwelling,2018-08-31,1,NOAH,RE11-1-RFA-RIO,1436.02,34.14309,-118.38543,POINT (-118.38543 34.14309)
181,THE NORTH SAN PEDRO TRACT OF WILMINGTON,Bldg-New,1 or 2 Family Dwelling,2019-06-26,1,NOAH,R2-1XL-O-CUGU,2947.01,33.78269,-118.25253,POINT (-118.25253 33.78269)
183,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2019-04-02,1,NOAH,[T]RE-1,1082.02,34.28453,-118.57882,POINT (-118.57882 34.28453)
185,TR 7746,Bldg-New,1 or 2 Family Dwelling,2019-06-13,1,NOAH,R1-1,2017.0,34.07127,-118.16251,POINT (-118.16251 34.07127)
186,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.28145,-118.38483,POINT (-118.38483 34.28145)
187,TR 50505,Bldg-New,1 or 2 Family Dwelling,2020-02-18,1,NOAH,[T]RE-1,1082.02,34.29724,-118.58124,POINT (-118.58124 34.29724)
188,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
190,TR 9349,Bldg-New,1 or 2 Family Dwelling,2019-05-10,1,NOAH,RA-1,1317.01,34.20628,-118.55373,POINT (-118.55373 34.20628)
192,TR 7578,Bldg-New,1 or 2 Family Dwelling,2022-04-22,1,NOAH,R1-1-RIO,1434.0,34.15116,-118.39882,POINT (-118.39882 34.15116)
193,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
194,TR 7260,Bldg-New,1 or 2 Family Dwelling,2018-07-31,1,NOAH,R1-1-O,2671.0,34.05332,-118.41835,POINT (-118.41835 34.05332)
195,TR 21476,Bldg-New,1 or 2 Family Dwelling,2018-11-06,1,NOAH,RE15-1-H,1415.0,34.13586,-118.48349,POINT (-118.48349 34.13586)
196,TR 6026,Bldg-New,1 or 2 Family Dwelling,2019-06-19,1,NOAH,R1-1-CUGU,1047.03,34.25385,-118.40488,POINT (-118.40488 34.25385)
198,TR 8463,Bldg-New,1 or 2 Family Dwelling,2017-09-15,1,NOAH,RD2-1VL,1951.0,34.09733,-118.27464,POINT (-118.27464 34.09733)
199,TR 8463,Bldg-New,1 or 2 Family Dwelling,2017-09-15,1,NOAH,RD2-1VL,1951.0,34.09733,-118.27464,POINT (-118.27464 34.09733)
200,TR 8520,Bldg-New,1 or 2 Family Dwelling,2022-04-20,1,NOAH,RE11-1,1235.2,34.18806,-118.42566,POINT (-118.42566 34.18806)
201,TR 2955,Bldg-New,1 or 2 Family Dwelling,2018-06-15,1,NOAH,RA-1,1397.01,34.15791,-118.50614,POINT (-118.50614 34.15791)
202,OAK HILL PARK TRACT,Bldg-New,1 or 2 Family Dwelling,2017-11-02,1,NOAH,RD1.5-1,1837.02,34.10701,-118.18376,POINT (-118.18376 34.10701)
203,TR 6735,Bldg-New,1 or 2 Family Dwelling,2018-07-03,1,NOAH,R1-1,2754.0,33.99059,-118.43891,POINT (-118.43891 33.99059)
204,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-03-07,1,NOAH,[T]RE-1,1082.02,34.28293,-118.581,POINT (-118.581 34.28293)
206,TR 1450,Bldg-New,1 or 2 Family Dwelling,2017-03-23,1,NOAH,R1-1,1437.0,34.12485,-118.34835,POINT (-118.34835 34.12485)
207,TR 5552,Bldg-New,1 or 2 Family Dwelling,2019-10-07,1,NOAH,RD2-1VL,1873.0,34.10611,-118.26065,POINT (-118.26065 34.10611)
208,TR 8463,Bldg-New,1 or 2 Family Dwelling,2017-09-15,1,NOAH,RD2-1VL,1951.0,34.09733,-118.27464,POINT (-118.27464 34.09733)
209,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.28157,-118.38495,POINT (-118.38495 34.28157)
210,TR 7215,Bldg-Addition,1 or 2 Family Dwelling,2017-06-09,1,NOAH,RD1.5-1,2732.0,33.99768,-118.46687,POINT (-118.46687 33.99768)
211,TR 7555,Bldg-New,1 or 2 Family Dwelling,2018-10-18,1,NOAH,R1-1-O-RFA,2147.0,34.06601,-118.36307,POINT (-118.36307 34.06601)
212,TR 4905,Bldg-New,1 or 2 Family Dwelling,2019-05-10,1,NOAH,R2-1VL-RIO,1872.0,34.1017,-118.24684,POINT (-118.24684 34.1017)
213,TR 7307,Bldg-New,1 or 2 Family Dwelling,2021-12-01,1,NOAH,R1-1-RIO,1289.1,34.16382,-118.45487,POINT (-118.45487 34.16382)
214,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
216,TR 8463,Bldg-New,1 or 2 Family Dwelling,2018-02-05,1,NOAH,RD2-1VL,1951.0,34.09761,-118.27432,POINT (-118.27432 34.09761)
217,TR 4353,Bldg-New,1 or 2 Family Dwelling,2016-01-20,1,NOAH,R1-1-O,1945.0,34.07916,-118.37407,POINT (-118.37407 34.07916)
219,TR 5006,Bldg-New,1 or 2 Family Dwelling,2019-08-12,1,NOAH,R1-1-RIO,1883.0,34.11824,-118.26192,POINT (-118.26192 34.11824)
220,P M 2014-1498,Bldg-New,1 or 2 Family Dwelling,2018-11-08,1,NOAH,R1-1,1345.22,34.20658,-118.6026,POINT (-118.6026 34.20658)
221,TR 1873,Bldg-New,1 or 2 Family Dwelling,2020-09-30,1,NOAH,R1-1XL-O-CUGU,2945.2,33.78861,-118.26872,POINT (-118.26872 33.78861)
222,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-03-07,1,NOAH,[T]RE-1,1082.02,34.28339,-118.5804,POINT (-118.5804 34.28339)
223,OCEAN PARK VILLA TRACT,Bldg-New,1 or 2 Family Dwelling,2022-04-18,1,NOAH,RD1.5-1,2732.0,33.99542,-118.46854,POINT (-118.46854 33.99542)
224,OAK HILL PARK TRACT,Bldg-New,1 or 2 Family Dwelling,2017-11-02,1,NOAH,RD1.5-1,1837.02,34.10706,-118.18387,POINT (-118.18387 34.10706)
225,TR 23753,Bldg-New,1 or 2 Family Dwelling,2016-08-09,1,NOAH,RE15-1-H,1943.0,34.10472,-118.39132,POINT (-118.39132 34.10472)
226,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.28176,-118.38464,POINT (-118.38464 34.28176)
227,J. M. ROBERTS TRACT,Bldg-New,1 or 2 Family Dwelling,2017-05-22,1,NOAH,R1-1,1895.0,34.10865,-118.32661,POINT (-118.32661 34.10865)
228,TR 8978,Bldg-New,1 or 2 Family Dwelling,2018-12-17,1,NOAH,RE11-1,2624.0,34.04826,-118.50718,POINT (-118.50718 34.04826)
229,TR 8463,Bldg-New,1 or 2 Family Dwelling,2017-09-15,1,NOAH,RD2-1VL,1951.0,34.09733,-118.27464,POINT (-118.27464 34.09733)
