Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003
"06037103402","Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","140","00","0004217",,,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103402","Census Tract 1034.02",,,,1372,1068,304,77.84,22.16
"06037104103","Census Tract 1041.03, Los Angeles County, California","ACSSF","ca","140","00","0004218",,,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104103","Census Tract 1041.03",,,,866,693,173,80.02,19.98
"06037104105","Census Tract 1041.05, Los Angeles County, California","ACSSF","ca","140","00","0004219",,,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104105","Census Tract 1041.05",,,,1526,764,762,50.07,49.93
"06037104108","Census Tract 1041.08, Los Angeles County, California","ACSSF","ca","140","00","0004220",,,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104108","Census Tract 1041.08",,,,1288,559,729,43.4,56.6
"06037104124","Census Tract 1041.24, Los Angeles County, California","ACSSF","ca","140","00","0004221",,,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104124","Census Tract 1041.24",,,,1281,995,286,77.67,22.33
"06037104201","Census Tract 1042.01, Los Angeles County, California","ACSSF","ca","140","00","0004222",,,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104201","Census Tract 1042.01",,,,916,728,188,79.48,20.52
"06037104203","Census Tract 1042.03, Los Angeles County, California","ACSSF","ca","140","00","0004223",,,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104203","Census Tract 1042.03",,,,1125,659,466,58.58,41.42
"06037104204","Census Tract 1042.04, Los Angeles County, California","ACSSF","ca","140","00","0004224",,,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104204","Census Tract 1042.04",,,,731,473,258,64.71,35.29
"06037104310","Census Tract 1043.10, Los Angeles County, California","ACSSF","ca","140","00","0004225",,,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104310","Census Tract 1043.10",,,,942,720,222,76.43,23.57
"06037104321","Census Tract 1043.21, Los Angeles County, California","ACSSF","ca","140","00","0004226",,,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104321","Census Tract 1043.21",,,,924,322,602,34.85,65.15
"06037104322","Census Tract 1043.22, Los Angeles County, California","ACSSF","ca","140","00","0004227",,,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104322","Census Tract 1043.22",,,,473,313,160,66.17,33.83
"06037104401","Census Tract 1044.01, Los Angeles County, California","ACSSF","ca","140","00","0004228",,,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104401","Census Tract 1044.01",,,,617,348,269,56.4,43.6
"06037104403","Census Tract 1044.03, Los Angeles County, California","ACSSF","ca","140","00","0004229",,,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104403","Census Tract 1044.03",,,,578,389,189,67.3,32.7
"06037104404","Census Tract 1044.04, Los Angeles County, California","ACSSF","ca","140","00","0004230",,,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104404","Census Tract 1044.04",,,,745,327,418,43.89,56.11
"06037104500","Census Tract 1045, Los Angeles County, California","ACSSF","ca","140","00","0004231",,,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104500","Census Tract 1045",,,,626,484,142,77.32,22.68
"06037104610","Census Tract 1046.10, Los Angeles County, California","ACSSF","ca","140","00","0004232",,,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104610","Census Tract 1046.10",,,,680,417,263,61.32,38.68
"06037104620","Census Tract 1046.20, Los Angeles County, California","ACSSF","ca","140","00","0004233",,,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104620","Census Tract 1046.20",,,,702,469,233,66.81,33.19
"06037104701","Census Tract 1047.01, Los Angeles County, California","ACSSF","ca","140","00","0004234",,,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104701","Census Tract 1047.01",,,,871,227,644,26.06,73.94
