X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.376602199624,34.172988900218,31,0,2337035901,Residential Vacant Land,Owned,CRA, ,5623 ELMER AVE,LOS ANGELES,LOS ANGELES,-118.3766022,34.1729889,2,7249.752002, 
-118.422191999432,34.1719010002895,32,0,2345001902,Commercial Improved,New,DOT, ,13250 BURBANK BLVD,LOS ANGELES,LOS ANGELES,-118.422192,34.171901,4,6090.693744,None
-118.405571000837,34.15037860032,33,0,2362028901,Public Facility,Owned,LAPL,[Q]C2-1VL-RIO,12511 MOORPARK ST,LOS ANGELES,LOS ANGELES,-118.405571,34.1503786,2,19425.62225,None
-118.399633499729,34.1435917003371,34,0,2367017017,Parking Facility,Leased,General Services, ,12229 VENTURA BLVD,LOS ANGELES,LOS ANGELES,-118.3996335,34.1435917,2,25710.4, 
-118.375717200067,34.1367607002748,35,0,2378018900,Residential Vacant Land,Surplus-Undeclared,General Services,RE15-1-H,11265 LAURIE DR,LOS ANGELES,LOS ANGELES,-118.3757172,34.1367607,2,7986.684311,None
-118.375823999873,34.1369590999766,36,0,2378018901,Residential Vacant Land,Surplus-Undeclared,General Services,RE15-1-H,11273 LAURIE DR,LOS ANGELES,LOS ANGELES,-118.375824,34.1369591,2,16401.04215,None
-118.374961900169,34.1369095002807,37,0,2378018902,Residential Vacant Land,Surplus-Undeclared,General Services,RE15-1-H,11247 LAURIE DR,LOS ANGELES,LOS ANGELES,-118.3749619,34.1369095,2,17251.20334,None
-118.375289900232,34.13686370002,38,0,2378018904,Residential Vacant Land,Surplus-Undeclared,General Services,RE15-1-H,11253 LAURIE DR,LOS ANGELES,LOS ANGELES,-118.3752899,34.1368637,2,16102.85907,None
-118.375511199304,34.136844600089,39,0,2378018905,Residential Vacant Land,Surplus-Undeclared,General Services,RE15-1-H,11259 LAURIE DR,LOS ANGELES,LOS ANGELES,-118.3755112,34.1368446,2,12601.71812,None
-118.365677999456,34.2271650002009,40,0,2404026900,Public Facility,Owned,DCA,(T)(Q)R3-1VL,8642 SUNLAND BLVD,LOS ANGELES,LOS ANGELES,-118.365678,34.227165,6,19358.75475, 
-118.351324800491,34.1227941994728,41,0,2427009901,Residential Improved,Surplus-Undeclared,General Services,RE15-1-H,7277 WOODROW WILSON DR,LOS ANGELES,LOS ANGELES,-118.3513248,34.1227942,4,14895.4303,None
-118.423351499885,34.2852172004965,42,0,2524001900,Commercial Improved,Owned,General Services, ,11844 GLENOAKS BLVD,LOS ANGELES,SAN FERNANDO,-118.4233515,34.2852172,7,22999.6698,None
-118.393778599609,34.2726849998906,43,0,2528001902,Public Facility,Owned,LAPL,C2-1VL,12002 OSBORNE ST,LOS ANGELES,LOS ANGELES,-118.3937786,34.272685,7,87556.71773,None
-118.412917600199,34.2739389998105,44,0,2533018900,Public Facility,Owned,Airports, ,11243 GLENOAKS BLVD,LOS ANGELES,PACOIMA,-118.4129176,34.273939,7,119938.9316,None
-118.300915800594,34.2577962000025,45,0,0,Public Facility,Owned,General Services,PF-1XL,7747 FOOTHILL BLVD,LOS ANGELES,LOS ANGELES,-118.3009158,34.2577962,7,23217.2,None
-118.427557200042,34.2617610001051,46,0,2620014902,Public Facility,Owned,General Services, ,13520 W VAN NUYS BLVD,LOS ANGELES,LOS ANGELES,-118.4275572,34.261761,7,7491.750398,None
-118.372334000078,34.2226509993942,47,0,2632026900,Parking Facility,Owned,TBD, ,8358 SAN FERNANDO RD,LOS ANGELES,LOS ANGELES,-118.372334,34.222651,6,108429.7232,None
-118.465685199638,34.2708856001513,48,0,2664004900,Public Facility,Owned,General Services,UI(CA),15321 BRAND BLVD,LOS ANGELES,LOS ANGELES,-118.4656852,34.2708856,7,143205.2846,None
-118.605538899912,34.2397717997124,49,0,2746013902,Maintenance Yard,Owned,General Services,MR1-1,9324 TOPANGA CANYON BLVD,LOS ANGELES,LOS ANGELES,-118.6055389,34.2397718,12,103934.7964,None
-118.372801999883,33.948684000364,50,0,4128014925,Residential Improved,Owned,Airports, ,9619 HINDRY PL,LOS ANGELES,LOS ANGELES,-118.372802,33.948684,11,5772.892944,None
-118.258445699749,34.0120811001721,51,0,5114015052,Vacant Land,Owned,General Services, ,981 E 35TH ST,LOS ANGELES,LOS ANGELES,-118.2584457,34.0120811,9,7819.7,None
-118.28156800009,33.9606899998746,52,0,6032035900,Parking Facility,Owned,General Services, ,8531 S FLOWER ST,LOS ANGELES,LOS ANGELES,-118.281568,33.96069,8,4078.7724, 
-118.241066000235,33.9459991001605,53,0,6048030903,Park,Owned,General Services, ,9921 HOLMES AVE,LOS ANGELES,LOS ANGELES,-118.241066,33.9459991,15,3324.110299,None
-118.241691599575,33.7826003998954,54,0,7428033913,Commercial Vacant Land,Owned,Harbor, ,914 N HENRY FORD AVE,LOS ANGELES,LOS ANGELES,-118.2416916,33.7826004,15,2413.178494,None
-118.26093620072,34.0337964997695,55,0,5424010900,Vacant Land,Surplus-Undeclared,General Services,R1-1VL,1467 S Los Angeles St,LOS ANGELES,LOS ANGELES,-118.2609362,34.0337965,14,4982, 
-118.268963000822,34.0851829997064,56,0,5424010901,Vacant Land,Surplus-Undeclared,General Services,R1-1VL,1463 N ANGELUS AVE,LOS ANGELES,LOS ANGELES,-118.268963,34.085183,13,4983, 
-118.332572000015,34.0508042003784,57,0,0,Parking Facility,Owned,General Services, ,1240 W BLVD,LOS ANGELES,LOS ANGELES,-118.332572,34.0508042,10,0, 
-118.24396289994,34.0431819996394,58,0,5147025900,Commercial Improved,Owned,General Services, ,526 S SAN PEDRO ST,LOS ANGELES,LOS ANGELES,-118.2439629,34.043182,14,25981.60904, 
-118.236636999559,34.0642540004575,59,0,5414013901,Residential Improved,Owned,General Services, ,900 N BROADWAY,LOS ANGELES,LOS ANGELES,-118.236637,34.064254,1,0, 
-118.464858199808,33.9875021004154,60,0,0,Public Facility,Owned,LAPL, ,501 VENICE BLVD,LOS ANGELES,LOS ANGELES,-118.4648582,33.9875021,11,0, 
-118.25328849955,34.0485568995299,61,0,0,Parking Facility,Owned,General Services, ,530 S OLIVE ST,LOS ANGELES,LOS ANGELES,-118.2532885,34.0485569,14,0, 
-118.272988200693,34.1338306002394,62,0,0,Maintenance Yard,Owned,General Services, ,3900 CHEVY CHASE DR,LOS ANGELES,LOS ANGELES,-118.2729882,34.1338306,13,0, 
-118.212878200617,34.0443143002797,63,0,0,Parking Facility,Owned,General Services, ,2130 E 1ST ST,LOS ANGELES,LOS ANGELES,-118.2128782,34.0443143,14,0, 
-118.246778199379,34.0456171999104,64,0,5148010900,Vacant Land,Owned,General Services,PF-2D,225 E 5TH ST,LOS ANGELES,LOS ANGELES,-118.2467782,34.0456172,14,4466.350115, 
-118.466559599973,33.9848516793462,65,0,4227006900,Park,Owned,RAP, ,200 LINNIE CANAL,LOS ANGELES,VENICE,-118.4665596,33.98485168,11,5703.325799,None
-118.466052099448,33.9944817004879,66,0,4239024900,Residential Improved,Owned,General Services,RD1.5-1,650 E WESTMINSTER AVE,LOS ANGELES,LOS ANGELES,-118.4660521,33.9944817,11,5200.7814, 
-118.300572000063,34.0039741003575,67,0,5021017902,Public Facility,Owned,LAFD,C2-1VL,1409 W VERNON AVE,LOS ANGELES,LOS ANGELES,-118.300572,34.0039741,8,13091.2681, 
-118.31711920026,34.0401697997181,68,0,5073024900,Public Facility,Owned,LAFD,[Q]C2-1,2475 W WASHINGTON BLVD,LOS ANGELES,LOS ANGELES,-118.3171192,34.0401698,10,6963.435949,None
-118.269821600689,34.0225302001325,69,0,5128003900,Commercial Improved,Leased,General Services, ,2824 S MAIN ST,LOS ANGELES,LOS ANGELES,-118.2698216,34.0225302,9,12999.9849, 
-118.214246200048,34.0454541996392,70,0,5183007900,Public Facility,Leased,General Services, ,2015 E 1ST ST,LOS ANGELES,LOS ANGELES,-118.2142462,34.0454542,14,16815.71115,None
-118.307319300061,33.9748562000936,71,0,6015036900,Public Facility,Owned,LAFD,[Q]C2-1VL,1715 W FLORENCE AVE,LOS ANGELES,LOS ANGELES,-118.3073193,33.9748562,8,16058.32615, 
-118.216008199664,34.0716245804026,72,0,5204007900,Commercial Improved,Owned,General Services, ,2422 MANITOU AVE,LOS ANGELES,LOS ANGELES,-118.2160082,34.07162458,1,23760.62805,None
-118.215673400252,34.0786882098696,73,0,5205019900,Residential Improved,Leased,General Services,PF-1-CDO,2661 N PASADENA AVE,LOS ANGELES,LOS ANGELES,-118.2156734,34.07868821,1,17241.57855,None
-118.196107399865,34.1021492002229,74,0,5303026901,OPLA,Owned,General Services,R1-1,331 AVE 52,Los Angeles,LOS ANGELES,-118.1961074,34.1021492,1,53.243,None
-118.196107399865,34.1021492002229,75,0,5558028900,OPLA,Owned,General Services,R1-1,HILLSIDE WAY/HILLSIDE AVE,Los Angeles,LOS ANGELES,0,0,5,42.427,None
-118.196107399865,34.1021492002229,76,0,2357007902,OPLA,Owned,General Services,R1-1,WHITSETT AVE/OTSEGO ST,Los Angeles,LOS ANGELES,0,0,5,366.059,None
-118.196107399865,34.1021492002229,77,0,2224026900,OPLA,Owned,General Services,R1-1,WOODLEY AVE/BASSETT ST,Los Angeles,LOS ANGELES,0,0,6,3786.291,None
-118.222662600386,34.0344160999579,78,0,0,Maintenance Yard,Owned,General Services, ,2310 E 7TH ST,LOS ANGELES,LOS ANGELES,-118.2226626,34.0344161,14,0,None
-118.222662600386,34.0344160999579,79,0,0,Maintenance Yard,Owned,General Services, ,2310 E 7TH ST,LOS ANGELES,LOS ANGELES,-118.2226626,34.0344161,14,0,None
-118.222168099382,34.0343191997437,80,0,0,Maintenance Yard,Owned,General Services, ,2324 E 7TH ST,LOS ANGELES,Los Angeles,-118.2221681,34.0343192,14,0,None
-118.222662600386,34.0344160999579,81,0,0,Maintenance Yard,Owned,General Services, ,2310 E 7TH ST,LOS ANGELES,LOS ANGELES,-118.2226626,34.0344161,14,0,None
-118.222662600386,34.0344160999579,82,0,0,Maintenance Yard,Owned,General Services, ,2310 E 7TH ST,LOS ANGELES,LOS ANGELES,-118.2226626,34.0344161,14,0,None
-118.222662600386,34.0344160999579,83,0,0,Maintenance Yard,Owned,General Services, ,2310 E 7TH ST,LOS ANGELES,LOS ANGELES,-118.2226626,34.0344161,14,0,None
-118.223074300078,34.0344751001531,84,0,0,Maintenance Yard,Owned,General Services, ,2300 E 7TH ST,LOS ANGELES,LOS ANGELES,-118.2230743,34.0344751,14,0,None
-118.222677599557,34.0341760996491,85,0,0,Maintenance Yard,Owned,General Services, ,2310 E 7th ST,LOS ANGELES,Los Angeles,-118.2226776,34.0341761,14,0,None
-118.22465110032,34.0340862996121,86,0,0,Maintenance Yard,Owned,General Services, ,2222 E 7TH ST,LOS ANGELES,Los Angeles,-118.2246511,34.0340863,14,0,None
-118.22465110032,34.0340862996121,87,0,0,Maintenance Yard,Owned,General Services, ,2222 E 7TH ST,LOS ANGELES,Los Angeles,-118.2246511,34.0340863,14,0,None
-118.22465110032,34.0340862996121,88,0,2247012900,OPLA,Owned,General Services,R1-1,CUMPSTON ST/COSTELLO AVE,LOS ANGELES,LOS ANGELES,0,0,5,1979.476,None
