name,year,total_jobs_count
Irwindale,2012,17373.46
Pico-Union,2012,11908.93
Glendora,2012,18158.92
Industry,2012,52562.08
Sylmar,2012,19500.33
Torrance,2012,100007.43
Alhambra,2012,26352.54
Pico Rivera,2012,17795.14
Rolling Hills Estates,2012,2394.73
Signal Hill,2012,13166.36
Hawthorne,2012,20910.21
North Hills,2012,8560.79
Hacienda Heights,2012,9976.3
Harbor Gateway,2012,27895.62
Lopez/Kagel Canyons,2012,146.19
Citrus,2012,918.35
Lake Balboa,2012,7217.16
Granada Hills,2012,9033.09
Palms,2012,8194.74
Santa Monica,2012,79692.03
Pacoima,2012,15130.64
Toluca Lake,2012,2662.85
Veterans Administration,2012,8673.96
Valley Village,2012,4748.81
Brentwood,2012,21524.44
Pomona,2012,47240.35
South Whittier,2012,6527.25
Pasadena,2012,97705.51
Winnetka,2012,8660.28
Palmdale,2012,27083.09
Porter Ranch,2012,4570.21
South El Monte,2012,11397.12
Tujunga Canyons,2012,1164.72
Commerce,2012,46422.26
San Fernando,2012,8127.82
Sherman Oaks,2012,30664.92
Bradbury,2012,380.81
Panorama City,2012,11519.22
Northridge,2012,32501.03
Culver City,2012,49133.39
Lakewood,2012,19173.62
Compton,2012,29161.41
Vernon,2012,43397.76
San Dimas,2012,19238.22
Inglewood,2012,27543.5
Charter Oak,2012,1814.8
Paramount,2012,17963.42
San Pedro,2012,11422.4
Lincoln Heights,2012,10427.79
Boyle Heights,2012,28499.07
Historic South-Central,2012,16227.83
Avalon,2012,1231.69
Westlake,2012,50455.22
Mission Hills,2012,6765.8
Quartz Hill,2012,1414.66
Marina del Rey,2012,4064.01
Bell,2012,9017.52
Long Beach,2012,156166.07
San Gabriel,2012,12185.75
Downey,2012,39515.38
Diamond Bar,2012,14970.67
La Canada Flintridge,2012,6222.02
West Covina,2012,24142.55
Redondo Beach,2012,24830.22
Vermont Square,2012,4104.49
Santa Fe Springs,2012,51603.11
Calabasas,2012,11826.73
Altadena,2012,5238.78
Bell Gardens,2012,8881.7
Sun Valley,2012,23286.63
Playa Vista,2012,7870.19
Carson,2012,52987.8
Hollywood Hills,2012,20222.63
Lancaster,2012,33646.88
Leona Valley,2012,181.88
Whittier,2012,23680.42
Walnut,2012,8663.18
Castaic Canyons,2012,9181.27
Silver Lake,2012,5107.78
Whittier Narrows,2012,4586.98
Glendale,2012,91669.54
West Whittier-Los Nietos,2012,4960.48
Atwater Village,2012,7486.99
East Whittier,2012,847.78
El Sereno,2012,7614.99
Montecito Heights,2012,1191.7
Florence,2012,7044.75
Huntington Park,2012,14168.55
Cheviot Hills,2012,2467.85
Cypress Park,2012,2736.09
Desert View Highlands,2012,640.38
Baldwin Park,2012,18913.11
Montebello,2012,26396.08
Leimert Park,2012,2237.12
Santa Clarita,2012,53030.28
Elysian Park,2012,2466.42
Wilmington,2012,11808.21
Jefferson Park,2012,3501.75
Downtown,2012,308576.45
Encino,2012,25155.42
West Adams,2012,3526.99
Hawaiian Gardens,2012,1978.14
Agoura Hills,2012,11159.61
Baldwin Hills/Crenshaw,2012,6381.41
Lake View Terrace,2012,2085.68
Adams-Normandie,2012,1570.92
El Monte,2012,28931.43
Rancho Dominguez,2012,12617.28
Acton,2012,559.32
Studio City,2012,22541.24
La Puente,2012,4255.44
North Hollywood,2012,20673.25
Rosemead,2012,14521.01
San Marino,2012,3269.67
East San Gabriel,2012,3503.08
