name,year,total_jobs_count
Irwindale,2014,17659.16
Pico-Union,2014,11243.28
Glendora,2014,19262.59
Industry,2014,53953.68
Sylmar,2014,19257.96
Torrance,2014,101673.29
Alhambra,2014,27125.64
Pico Rivera,2014,18498.92
Rolling Hills Estates,2014,2396.4
Signal Hill,2014,14168.88
Hawthorne,2014,23358.13
North Hills,2014,8917.73
Hacienda Heights,2014,9578.6
Harbor Gateway,2014,28693.3
Lopez/Kagel Canyons,2014,172.19
Citrus,2014,1166.05
Lake Balboa,2014,7794.37
Granada Hills,2014,9432.19
Palms,2014,9372.63
Santa Monica,2014,84057.06
Pacoima,2014,15084.74
Toluca Lake,2014,2733.29
Veterans Administration,2014,4277.3
Valley Village,2014,5057.37
Brentwood,2014,21233.85
Pomona,2014,47504.42
South Whittier,2014,7590.4
Pasadena,2014,109157.99
Winnetka,2014,8984.01
Palmdale,2014,28055.18
Porter Ranch,2014,4837.42
South El Monte,2014,12487.23
Tujunga Canyons,2014,1251.93
Commerce,2014,50871.73
San Fernando,2014,8738.1
Sherman Oaks,2014,33596.97
Bradbury,2014,381.54
Panorama City,2014,12810.27
Northridge,2014,34631.69
Culver City,2014,50842.79
Lakewood,2014,20054.15
Compton,2014,30252.06
Vernon,2014,42327.25
San Dimas,2014,19973.98
Inglewood,2014,28039.52
Charter Oak,2014,1995.03
Paramount,2014,17844.95
San Pedro,2014,12873.07
Lincoln Heights,2014,12173.97
Boyle Heights,2014,29685.01
Historic South-Central,2014,15951.85
Avalon,2014,1813.82
Westlake,2014,52220.56
Mission Hills,2014,7246.48
Quartz Hill,2014,1581.1
Marina del Rey,2014,4470.1
Bell,2014,9400.09
Long Beach,2014,161924.87
San Gabriel,2014,12633.57
Downey,2014,39822.85
Diamond Bar,2014,16667.53
La Canada Flintridge,2014,6661.49
West Covina,2014,27552.86
Redondo Beach,2014,25692.42
Vermont Square,2014,4274.2
Santa Fe Springs,2014,54932.61
Calabasas,2014,12673.12
Altadena,2014,5359.23
Bell Gardens,2014,9026.07
Sun Valley,2014,24455.6
Playa Vista,2014,8406.34
Carson,2014,58387.06
Hollywood Hills,2014,22404.11
Lancaster,2014,37837.6
Leona Valley,2014,205.24
Whittier,2014,25066.89
Walnut,2014,9602.69
Castaic Canyons,2014,10786.33
Silver Lake,2014,5365.99
Whittier Narrows,2014,4753.29
Glendale,2014,97513.09
West Whittier-Los Nietos,2014,5568.2
Atwater Village,2014,7943.45
East Whittier,2014,997.95
El Sereno,2014,8384.78
Montecito Heights,2014,1209.87
Florence,2014,6941.48
Huntington Park,2014,14478.27
Cheviot Hills,2014,2729.44
Cypress Park,2014,2717.51
Desert View Highlands,2014,625.56
Baldwin Park,2014,20208.39
Montebello,2014,26416.86
Leimert Park,2014,2274.51
Santa Clarita,2014,57837.57
Elysian Park,2014,2766.99
Wilmington,2014,12922.78
Jefferson Park,2014,2871.79
Downtown,2014,321936.6
Encino,2014,25904.79
West Adams,2014,3997.83
Hawaiian Gardens,2014,2083.94
Agoura Hills,2014,10949.38
Baldwin Hills/Crenshaw,2014,6682.99
Lake View Terrace,2014,2189.11
Adams-Normandie,2014,1467.86
El Monte,2014,29609.59
Rancho Dominguez,2014,13166.66
Acton,2014,609.67
Studio City,2014,24868.93
La Puente,2014,4547.44
North Hollywood,2014,22222.66
Rosemead,2014,15231.61
San Marino,2014,3657.63
East San Gabriel,2014,3680.55
South Park,2014,2713
Burbank,2014,185537.85
Woodland Hills,2014,58444.3
Angeles Crest,2014,796.89
East Compton,2014,490.2
Chatsworth,2014,34688.04
Mayflower Village,2014,2023.42
Koreatown,2014,43433.65
South Gate,2014,24157.92
Elysian Valley,2014,1230.46
Claremont,2014,15930.4
Avocado Heights,2014,6744.03
South San Gabriel,2014,2423.34
Northwest Antelope Valley,2014,1890.92
Echo Park,2014,7317.41
Lynwood,2014,11689.61
Unincorporated Santa Susana Mountains,2014,13934.53
Shadow Hills,2014,5629.62
La Habra Heights,2014,1151.46
Covina,2014,19282.22
Northwest Palmdale,2014,1090.18
Sawtelle,2014,30071.96
Rancho Park,2014,2938.19
East Los Angeles,2014,19856.55
Beverlywood,2014,2103.55
Bellflower,2014,18490.28
Azusa,2014,14005.91
Del Rey,2014,9869.13
Mid-Wilshire,2014,21457.74
North Whittier,2014,4832.93
Beverly Crest,2014,1624.24
Cerritos,2014,37607.63
West Hills,2014,9346.15
Vincent,2014,2245.71
Sun Village,2014,359.73
Playa del Rey,2014,9518.52
Valinda,2014,1501.19
Tujunga,2014,4180.11
Exposition Park,2014,5468.13
Eagle Rock,2014,8340.76
Harbor City,2014,6878.86
Southeast Antelope Valley,2014,1405.66
Reseda,2014,12450.68
Willowbrook,2014,7410.16
Highland Park,2014,5207.34
Temple City,2014,7401.79
Westlake Village,2014,4940.37
Pico-Robertson,2014,6028.11
Monrovia,2014,17993.02
Broadway-Manchester,2014,1650.09
Sunland,2014,1827.28
Agua Dulce,2014,685.79
Malibu,2014,3719.53
Topanga,2014,1073.88
Northeast Antelope Valley,2014,3209.2
Arleta,2014,2349.86
Van Nuys,2014,44777.33
Mar Vista,2014,4571.88
Valley Glen,2014,11933.15
Arcadia,2014,27329.01
Windsor Square,2014,4652.63
West Puente Valley,2014,2819.81
Central-Alameda,2014,9425.07
Arlington Heights,2014,2651.46
Harvard Heights,2014,2716.54
Harvard Park,2014,1232.78
East Hollywood,2014,27275.6
Lennox,2014,2192.09
Larchmont,2014,1596.5
Tarzana,2014,13849.12
Rolling Hills,2014,490.24
Mid-City,2014,12248.88
Westchester,2014,67782.31
Manchester Square,2014,809.95
Rowland Heights,2014,13661.03
Ridge Route,2014,1214.66
South San Jose Hills,2014,1983.78
Vermont-Slauson,2014,2959.51
Athens,2014,2072.75
Mount Washington,2014,1265.98
West Compton,2014,8981.28
Los Feliz,2014,7732.45
Chinatown,2014,10198.48
Century City,2014,51542.81
Florence-Firestone,2014,7327.41
University Park,2014,8098.23
Hollywood Hills West,2014,2448.45
Unincorporated Santa Monica Mountains,2014,17879.06
West Los Angeles,2014,16937.74
Hancock Park,2014,8606.58
Canoga Park,2014,19453.41
Chesterfield Square,2014,1552.86
Hidden Hills,2014,1074.2
Norwalk,2014,25864.53
North El Monte,2014,786.41
Monterey Park,2014,30538.21
Hollywood,2014,54861.8
Fairfax,2014,11439.56
Glassell Park,2014,5575.94
Watts,2014,3089.65
La Verne,2014,11498.6
Rancho Palos Verdes,2014,7316.45
Green Meadows,2014,2705.14
Del Aire,2014,3703.66
Vermont Knolls,2014,1573.92
Castaic,2014,1189.19
Westwood,2014,65394.99
Venice,2014,12077.17
South Diamond Bar,2014,908.6
Universal City,2014,5792
Pacific Palisades,2014,5724.82
Bel-Air,2014,2707.95
East Pasadena,2014,2659.22
Cudahy,2014,2932.76
Palos Verdes Estates,2014,2321.63
Ladera Heights,2014,26345.7
Walnut Park,2014,1034.03
La Crescenta-Montrose,2014,3138.28
Gardena,2014,25261.69
Duarte,2014,11416.48
La Mirada,2014,18785.96
Maywood,2014,3974.05
Alondra Park,2014,2464.99
Beverly Grove,2014,33619.74
Vermont Vista,2014,1823.7
Lawndale,2014,5534.09
Hyde Park,2014,5127.32
Lomita,2014,3200.08
South Pasadena,2014,7121.74
Westmont,2014,2123.37
San Pasqual,2014,127.8
West Hollywood,2014,28363.23
Artesia,2014,5467.11
Manhattan Beach,2014,19408.87
West Carson,2014,5508
Hermosa Beach,2014,6324.78
Carthay,2014,5832.38
Beverly Hills,2014,53187.71
El Segundo,2014,67564.31
View Park-Windsor Hills,2014,1606.78
Sierra Madre,2014,2077.6
Gramercy Park,2014,1280.18
