name,year,total_jobs_count
Irwindale,2017,17803.54
Pico-Union,2017,10777.21
Glendora,2017,20254.77
Industry,2017,60089.24
Sylmar,2017,20750.63
Torrance,2017,103048.26
Alhambra,2017,27868.37
Pico Rivera,2017,18610.19
Rolling Hills Estates,2017,2601.05
Signal Hill,2017,15445.23
Hawthorne,2017,22966.58
North Hills,2017,9330.49
Hacienda Heights,2017,9885.3
Harbor Gateway,2017,30669.58
Lopez/Kagel Canyons,2017,142.38
Citrus,2017,1153.95
Lake Balboa,2017,9426.12
Granada Hills,2017,10684.65
Palms,2017,10035.33
Santa Monica,2017,87979.26
Pacoima,2017,15991.18
Toluca Lake,2017,2719.75
Veterans Administration,2017,1137.95
Valley Village,2017,4966.66
Brentwood,2017,20660.63
Pomona,2017,49995.71
South Whittier,2017,7513.26
Pasadena,2017,111330.05
Winnetka,2017,10211.73
Palmdale,2017,31082.33
Porter Ranch,2017,4782.43
South El Monte,2017,12339.28
Tujunga Canyons,2017,1322.6
Commerce,2017,53805.48
San Fernando,2017,9223.84
Sherman Oaks,2017,34290.69
Bradbury,2017,410.66
Panorama City,2017,13887.29
Northridge,2017,35689.44
Culver City,2017,53990.6
Lakewood,2017,20520.25
Compton,2017,30481.32
Vernon,2017,40815.43
San Dimas,2017,20388.3
Inglewood,2017,30093.59
Charter Oak,2017,2040.94
Paramount,2017,19130.17
San Pedro,2017,14552.93
Lincoln Heights,2017,11854.04
Boyle Heights,2017,31051.66
Historic South-Central,2017,16838.84
Avalon,2017,1903.07
Westlake,2017,54013.84
Mission Hills,2017,8688.75
Quartz Hill,2017,1696.12
Marina del Rey,2017,5432.15
Bell,2017,13828.93
Long Beach,2017,168852.7
San Gabriel,2017,13278.31
Downey,2017,45969.96
Diamond Bar,2017,20230.87
La Canada Flintridge,2017,5766.48
West Covina,2017,28708.1
Redondo Beach,2017,25340.95
Vermont Square,2017,4574.05
Santa Fe Springs,2017,56837.99
Calabasas,2017,13492.22
Altadena,2017,6279.98
Bell Gardens,2017,9225.83
Sun Valley,2017,24892.28
Playa Vista,2017,13654.13
Carson,2017,65956.87
Hollywood Hills,2017,21377.67
Lancaster,2017,42542.51
Leona Valley,2017,157.59
Whittier,2017,26914.31
Walnut,2017,10123.71
Castaic Canyons,2017,10976.68
Silver Lake,2017,6222.7
Whittier Narrows,2017,4624.63
Glendale,2017,107337.49
West Whittier-Los Nietos,2017,5802.87
Atwater Village,2017,7601.99
East Whittier,2017,1032.01
El Sereno,2017,9739.4
Montecito Heights,2017,1241.7
Florence,2017,7339.65
Huntington Park,2017,13114.99
Cheviot Hills,2017,2057.86
Cypress Park,2017,2792.96
Desert View Highlands,2017,744.95
Baldwin Park,2017,22427.57
Montebello,2017,24913.79
Leimert Park,2017,2385
Santa Clarita,2017,61847.04
Elysian Park,2017,4349.24
Wilmington,2017,13473.27
Jefferson Park,2017,2914.78
Downtown,2017,318763.34
Encino,2017,30114.74
West Adams,2017,4283.5
Hawaiian Gardens,2017,2112.37
Agoura Hills,2017,12114.73
Baldwin Hills/Crenshaw,2017,7241.79
Lake View Terrace,2017,2373.51
Adams-Normandie,2017,1556.61
El Monte,2017,33874.17
Rancho Dominguez,2017,13785.39
Acton,2017,1187.7
Studio City,2017,26213.13
La Puente,2017,4614.94
North Hollywood,2017,21622.72
Rosemead,2017,15633.25
San Marino,2017,3782.65
East San Gabriel,2017,3872.2
South Park,2017,2565.62
Burbank,2017,210024.26
Woodland Hills,2017,59551.53
Angeles Crest,2017,1000.65
East Compton,2017,807.71
Chatsworth,2017,36298.3
Mayflower Village,2017,2073.84
Koreatown,2017,42168.41
South Gate,2017,20647
Elysian Valley,2017,1464.13
Claremont,2017,16505.74
Avocado Heights,2017,6017.24
South San Gabriel,2017,2394.82
Northwest Antelope Valley,2017,1734.78
Echo Park,2017,7622.54
Lynwood,2017,11650.77
Unincorporated Santa Susana Mountains,2017,15967.36
Shadow Hills,2017,6004.4
La Habra Heights,2017,1314.54
Covina,2017,20827.64
Northwest Palmdale,2017,1308.06
Sawtelle,2017,34995.17
Rancho Park,2017,2814.88
East Los Angeles,2017,21317.58
Beverlywood,2017,1983.61
Bellflower,2017,21509.63
Azusa,2017,14173.12
Del Rey,2017,9529.79
Mid-Wilshire,2017,38517.02
North Whittier,2017,5443.75
Beverly Crest,2017,1568
Cerritos,2017,40750.93
West Hills,2017,9786.84
Vincent,2017,2293.2
Sun Village,2017,391.74
Playa del Rey,2017,10689.92
Valinda,2017,1919.16
Tujunga,2017,4395.62
Exposition Park,2017,5696.77
Eagle Rock,2017,9664.74
Harbor City,2017,7162.88
Southeast Antelope Valley,2017,1403.18
Reseda,2017,13200.53
Willowbrook,2017,7853.15
Highland Park,2017,5653.37
Temple City,2017,7590.82
Westlake Village,2017,5573.12
Pico-Robertson,2017,5361.72
Monrovia,2017,18083.93
Broadway-Manchester,2017,1699.78
Sunland,2017,1978.33
Agua Dulce,2017,665.36
Malibu,2017,3940.76
Topanga,2017,1270.26
Northeast Antelope Valley,2017,3539.97
Arleta,2017,2700.13
Van Nuys,2017,48669
Mar Vista,2017,4616.64
Valley Glen,2017,11717.17
Arcadia,2017,27062.57
Windsor Square,2017,4315.72
West Puente Valley,2017,3396.2
Central-Alameda,2017,8017.67
Arlington Heights,2017,2811.51
Harvard Heights,2017,2829.95
Harvard Park,2017,1242.77
East Hollywood,2017,26091.94
Lennox,2017,2265.01
Larchmont,2017,1417.21
Tarzana,2017,14793.82
Rolling Hills,2017,658.22
Mid-City,2017,12701.89
Westchester,2017,74105.15
Manchester Square,2017,1088.38
Rowland Heights,2017,15505.76
Ridge Route,2017,1002.58
South San Jose Hills,2017,1901.23
Vermont-Slauson,2017,3074.94
Athens,2017,1988.95
Mount Washington,2017,1400.01
West Compton,2017,9473.54
Los Feliz,2017,9353.9
Chinatown,2017,9888.13
Century City,2017,54300.23
Florence-Firestone,2017,7824.62
University Park,2017,7272.92
Hollywood Hills West,2017,2761.37
Unincorporated Santa Monica Mountains,2017,18422.68
West Los Angeles,2017,18952.22
Hancock Park,2017,9119.86
Canoga Park,2017,20742.85
Chesterfield Square,2017,1492.84
Hidden Hills,2017,1211.36
Norwalk,2017,25451.27
North El Monte,2017,886.34
Monterey Park,2017,29903.95
Hollywood,2017,58236.92
Fairfax,2017,11951.37
Glassell Park,2017,5993
Watts,2017,3148.16
La Verne,2017,12326.58
Rancho Palos Verdes,2017,7706.18
Green Meadows,2017,2537.98
Del Aire,2017,3573.52
Vermont Knolls,2017,2032.47
Castaic,2017,1276.21
Westwood,2017,67235.26
Venice,2017,16932.45
South Diamond Bar,2017,1085.57
Universal City,2017,4768.35
Pacific Palisades,2017,5694.68
Bel-Air,2017,2827.48
East Pasadena,2017,3188.47
Cudahy,2017,3516.39
Palos Verdes Estates,2017,2513.28
Ladera Heights,2017,21758.1
Walnut Park,2017,937.55
La Crescenta-Montrose,2017,3220.61
Gardena,2017,25791.36
Duarte,2017,11987.14
La Mirada,2017,19797.32
Maywood,2017,4313.54
Alondra Park,2017,2535.36
Beverly Grove,2017,32750.17
Vermont Vista,2017,1956.53
Lawndale,2017,6122.41
Hyde Park,2017,5224.27
Lomita,2017,3559.43
South Pasadena,2017,7513.09
Westmont,2017,2215.91
San Pasqual,2017,197.15
West Hollywood,2017,30346
Artesia,2017,5812.07
Manhattan Beach,2017,20370.37
West Carson,2017,6132.52
Hermosa Beach,2017,7500.76
Carthay,2017,7087.9
Beverly Hills,2017,53837.2
El Segundo,2017,65721.05
View Park-Windsor Hills,2017,1585.82
Sierra Madre,2017,2914.6
Gramercy Park,2017,1266.2
